customer_id,total_revenue,total_transactions,customer_tenure_days,is_churned,customer_ltv,churn_probability,churn_risk_level,R_score,F_score,M_score,segment
CUST_000091,3631.05,44,1307,0,3631.05,0.0018858968184629,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000092,22522.82,44,1305,0,22522.82,0.000888817426595,Low,4.0,5.0,5.0,Champions
CUST_000093,762.05,4,1304,1,762.05,1.0,High,1.0,2.0,2.0,Hibernating
CUST_000094,3285.37,19,1303,1,3285.37,1.0,High,1.0,4.0,4.0,At Risk
CUST_000095,2111.66,44,1301,0,2111.66,0.003243859811448,Low,4.0,5.0,4.0,Champions
CUST_000096,35865.29,44,1300,0,35865.29,0.000331840862061,Low,4.0,5.0,5.0,Champions
CUST_000097,8153.53,44,1300,0,8153.53,0.0002297591381626,Low,4.0,5.0,5.0,Champions
CUST_000098,2975.6,44,1298,0,2975.6,0.0014185114283774,Low,4.0,5.0,4.0,Champions
CUST_000099,16266.72,44,1294,0,16266.72,0.0003982120469225,Low,5.0,5.0,5.0,Champions
CUST_000100,33230.98,43,1290,0,33230.98,0.0063441968271437,Low,2.0,5.0,5.0,At Risk
CUST_000101,2635.69,43,1288,0,2635.69,0.0056062754970174,Low,2.0,5.0,4.0,At Risk
CUST_000102,17834.5,43,1288,0,17834.5,0.0030998759134893,Low,2.0,5.0,5.0,At Risk
CUST_000103,2337.31,43,1284,0,2337.31,0.0040944008031897,Low,2.0,5.0,4.0,At Risk
CUST_000104,10585.04,43,1284,0,10585.04,0.0004715751835007,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000105,3106.26,43,1277,0,3106.26,0.0035887026380272,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000106,6712.9,43,1276,0,6712.9,0.0003466360230722,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000107,1399.86,43,1276,0,1399.86,0.0006294969890985,Low,4.0,5.0,3.0,Loyal Customers
CUST_000108,2431.89,43,1272,0,2431.89,0.0024743713387933,Low,4.0,5.0,4.0,Champions
CUST_000109,12026.58,43,1271,0,12026.58,0.0003206418325526,Low,4.0,5.0,5.0,Champions
CUST_000110,9850.1,11,1271,1,9850.1,1.0,High,1.0,3.0,5.0,At Risk
CUST_000111,4692.71,43,1270,0,4692.71,0.0002830902968097,Low,5.0,5.0,4.0,Champions
CUST_000112,1892.0,43,1270,0,1892.0,0.0029243924722156,Low,5.0,5.0,3.0,Loyal Customers
CUST_000113,2226.24,43,1269,0,2226.24,0.0008500187580587,Low,5.0,5.0,4.0,Champions
CUST_000114,1341.95,43,1269,0,1341.95,0.001624679438145,Low,5.0,5.0,3.0,Loyal Customers
CUST_000115,10096.37,43,1269,0,10096.37,0.0012376102370692,Low,5.0,5.0,5.0,Champions
CUST_000116,2591.11,15,1268,1,2591.11,1.0,High,1.0,4.0,4.0,At Risk
CUST_000117,8940.12,43,1267,0,8940.12,0.0005027089659504,Low,5.0,5.0,5.0,Champions
CUST_000118,6894.85,43,1266,0,6894.85,0.0011320908897595,Low,5.0,5.0,5.0,Champions
CUST_000119,3261.95,43,1262,0,3261.95,0.0003657342330254,Low,5.0,5.0,4.0,Champions
CUST_000120,4083.41,42,1260,0,4083.41,0.0036905785398483,Low,1.0,5.0,4.0,At Risk
CUST_000121,104270.98,42,1259,0,104270.98,0.0009603289182526,Low,2.0,5.0,5.0,At Risk
CUST_000122,2742.32,42,1255,0,2742.32,0.0025594001639274,Low,2.0,5.0,4.0,At Risk
CUST_000123,16584.2,42,1255,0,16584.2,0.0050441968987042,Low,2.0,5.0,5.0,At Risk
CUST_000124,104455.77,42,1251,0,104455.77,0.0010817482563903,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000125,9975.52,10,1250,1,9975.52,1.0,High,1.0,3.0,5.0,At Risk
CUST_000126,3276.19,42,1248,0,3276.19,0.0033530452654379,Low,1.0,5.0,4.0,At Risk
CUST_000127,1765.87,42,1247,0,1765.87,0.0011011177037259,Low,3.0,5.0,3.0,Potential Loyalists
CUST_000128,2969.71,11,1247,1,2969.71,1.0,High,1.0,3.0,4.0,At Risk
CUST_000129,5725.93,42,1244,0,5725.93,0.0003275661928511,Low,1.0,5.0,5.0,At Risk
CUST_000130,2170.02,22,1241,1,2170.02,1.0,High,1.0,5.0,4.0,At Risk
CUST_000131,99222.05,42,1240,0,99222.05,0.0002851691611151,Low,4.0,5.0,5.0,Champions
CUST_000132,1693.07,8,1237,1,1693.07,1.0,High,1.0,3.0,3.0,At Risk
CUST_000133,3314.38,12,1232,1,3314.38,1.0,High,1.0,3.0,4.0,At Risk
CUST_000134,10256.59,42,1232,0,10256.59,0.0002186343209493,Low,5.0,5.0,5.0,Champions
CUST_000135,3363.99,41,1229,0,3363.99,0.0156567467198169,Low,1.0,5.0,4.0,At Risk
CUST_000136,19228.47,41,1229,0,19228.47,0.002186905250345,Low,2.0,5.0,5.0,At Risk
CUST_000137,36210.62,41,1228,0,36210.62,0.0025477782963145,Low,2.0,5.0,5.0,At Risk
CUST_000138,10714.27,41,1227,0,10714.27,0.001675148308755,Low,2.0,5.0,5.0,At Risk
CUST_000139,7108.02,41,1227,0,7108.02,0.0008774505070365,Low,2.0,5.0,5.0,At Risk
CUST_000140,23078.25,41,1221,0,23078.25,0.004692157526819,Low,2.0,5.0,5.0,At Risk
CUST_000141,1587.78,41,1220,0,1587.78,0.0037021823105016,Low,3.0,5.0,3.0,Potential Loyalists
CUST_000142,1411.01,41,1220,0,1411.01,0.0026837073701773,Low,3.0,5.0,3.0,Potential Loyalists
CUST_000143,4149.26,41,1220,0,4149.26,0.012273561729039,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000144,8688.22,41,1218,0,8688.22,0.0006405436082196,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000145,10452.88,41,1218,0,10452.88,0.0020358864534521,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000146,1579.91,41,1216,0,1579.91,0.0013713889039563,Low,4.0,5.0,3.0,Loyal Customers
CUST_000147,2735.53,41,1211,0,2735.53,0.0031013166248537,Low,4.0,5.0,4.0,Champions
CUST_000148,7567.11,41,1210,0,7567.11,0.0005453393323933,Low,1.0,5.0,5.0,At Risk
CUST_000149,582.94,11,1208,1,582.94,1.0,High,1.0,3.0,2.0,At Risk
CUST_000150,1407.0,19,1208,1,1407.0,1.0,High,1.0,4.0,3.0,At Risk
CUST_000151,2543.78,10,1205,1,2543.78,1.0,High,1.0,3.0,4.0,At Risk
CUST_000152,7788.03,41,1204,0,7788.03,0.0003322787242194,Low,5.0,5.0,5.0,Champions
CUST_000153,64680.54,24,1203,1,64680.54,1.0,High,1.0,5.0,5.0,At Risk
CUST_000154,1649.64,41,1202,0,1649.64,0.0014213038903024,Low,5.0,5.0,3.0,Loyal Customers
CUST_000155,1553.88,40,1201,0,1553.88,0.0129609088030001,Low,1.0,5.0,3.0,At Risk
CUST_000156,2165.01,40,1200,0,2165.01,0.0061248463957796,Low,2.0,5.0,4.0,At Risk
CUST_000157,31504.2,11,1199,1,31504.2,1.0,High,1.0,3.0,5.0,At Risk
CUST_000158,470.55,3,1198,1,470.55,1.0,High,1.0,2.0,2.0,Hibernating
CUST_000159,1940.57,40,1196,0,1940.57,0.0079710824766285,Low,2.0,5.0,3.0,At Risk
CUST_000160,2795.81,40,1196,0,2795.81,0.0067924769521722,Low,2.0,5.0,4.0,At Risk
CUST_000161,860.79,4,1195,1,860.79,1.0,High,1.0,2.0,2.0,Hibernating
CUST_000162,2746.5,40,1195,0,2746.5,0.0030486386706728,Low,2.0,5.0,4.0,At Risk
CUST_000163,2176.37,16,1193,1,2176.37,1.0,High,1.0,4.0,4.0,At Risk
CUST_000164,9750.22,40,1193,0,9750.22,0.0015196978927277,Low,2.0,5.0,5.0,At Risk
CUST_000165,2011.41,40,1192,0,2011.41,0.0073325321315762,Low,2.0,5.0,4.0,At Risk
CUST_000166,13394.86,40,1188,0,13394.86,0.0015006942473511,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000167,459.1,13,1188,1,459.1,1.0,High,1.0,4.0,2.0,At Risk
CUST_000168,348.0,7,1187,1,348.0,1.0,High,1.0,3.0,2.0,At Risk
CUST_000169,10211.64,40,1187,0,10211.64,0.0008253470288428,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000170,1242.9,19,1185,1,1242.9,1.0,High,1.0,4.0,3.0,At Risk
CUST_000171,8119.1,40,1184,0,8119.1,0.0005290407254633,Low,4.0,5.0,5.0,Champions
CUST_000172,6453.72,40,1183,0,6453.72,0.0004841737552805,Low,4.0,5.0,5.0,Champions
CUST_000173,7886.14,40,1180,0,7886.14,0.0005469647719906,Low,4.0,5.0,5.0,Champions
CUST_000174,2024.64,40,1179,0,2024.64,0.0004180765328355,Low,5.0,5.0,4.0,Champions
CUST_000175,3823.82,16,1179,1,3823.82,1.0,High,1.0,4.0,4.0,At Risk
CUST_000176,23285.22,40,1176,0,23285.22,0.0007052957352263,Low,5.0,5.0,5.0,Champions
CUST_000177,725.1899999999999,11,1167,1,725.1899999999999,1.0,High,1.0,3.0,2.0,At Risk
CUST_000178,4108.15,18,1166,1,4108.15,1.0,High,1.0,4.0,4.0,At Risk
CUST_000179,9641.53,39,1166,0,9641.53,0.0048596026654238,Low,2.0,5.0,5.0,At Risk
CUST_000180,2221.04,9,1165,1,2221.04,1.0,High,1.0,3.0,4.0,At Risk
CUST_000181,2389.61,8,1164,1,2389.61,1.0,High,1.0,3.0,4.0,At Risk
CUST_000182,9675.14,39,1164,0,9675.14,0.0018627894461781,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000183,419.2,6,1160,1,419.2,1.0,High,1.0,2.0,2.0,Hibernating
CUST_000184,18566.55,39,1159,0,18566.55,0.0032785979577876,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000185,1823.97,39,1156,0,1823.97,0.0055569204158264,Low,4.0,5.0,3.0,Loyal Customers
CUST_000186,1506.15,39,1155,0,1506.15,0.0012788864918239,Low,4.0,5.0,3.0,Loyal Customers
CUST_000187,6179.09,39,1152,0,6179.09,0.0003372021324641,Low,4.0,5.0,5.0,Champions
CUST_000188,3362.8,39,1152,0,3362.8,0.0015796204114487,Low,4.0,5.0,4.0,Champions
CUST_000189,1838.64,39,1152,0,1838.64,0.0010373811368981,Low,4.0,5.0,3.0,Loyal Customers
CUST_000190,707.69,10,1151,1,707.69,1.0,High,1.0,3.0,2.0,At Risk
CUST_000191,9565.05,39,1149,0,9565.05,0.0004402559961118,Low,4.0,5.0,5.0,Champions
CUST_000192,32876.14,39,1149,0,32876.14,0.000336843038362,Low,5.0,5.0,5.0,Champions
CUST_000193,37421.35,39,1148,0,37421.35,0.0002992279544505,Low,5.0,5.0,5.0,Champions
CUST_000194,2431.51,39,1147,0,2431.51,0.0007835335708215,Low,5.0,5.0,4.0,Champions
CUST_000195,25710.18,39,1146,0,25710.18,0.0020348804496154,Low,5.0,5.0,5.0,Champions
CUST_000196,3434.88,12,1145,1,3434.88,1.0,High,1.0,4.0,4.0,At Risk
CUST_000197,22946.85,38,1139,0,22946.85,0.010516897829238,Low,2.0,5.0,5.0,At Risk
CUST_000198,54812.91,38,1139,0,54812.91,0.0011065750709023,Low,1.0,5.0,5.0,At Risk
CUST_000199,915.28,8,1134,1,915.28,1.0,High,1.0,3.0,2.0,At Risk
CUST_000200,25260.64,38,1132,0,25260.64,0.0014160531909163,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000201,19262.21,38,1131,0,19262.21,0.0033991982151087,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000202,34665.12,38,1131,0,34665.12,0.0010867640655423,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000203,5326.33,15,1130,1,5326.33,1.0,High,1.0,4.0,5.0,At Risk
CUST_000204,3067.76,38,1129,0,3067.76,0.0022096009860104,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000205,2094.39,38,1127,0,2094.39,0.0008927746236494,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000206,42866.57,38,1127,0,42866.57,0.0003331362889345,Low,4.0,5.0,5.0,Champions
CUST_000207,4900.23,38,1124,0,4900.23,0.0006650791637923,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000208,5666.01,38,1124,0,5666.01,0.000649954328538,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000209,2488.33,38,1121,0,2488.33,0.0005402510376598,Low,4.0,5.0,4.0,Champions
CUST_000210,19556.55,38,1118,0,19556.55,0.000412249211352,Low,4.0,5.0,5.0,Champions
CUST_000211,11288.43,14,1118,1,11288.43,1.0,High,1.0,4.0,5.0,At Risk
CUST_000212,4788.59,38,1116,0,4788.59,0.0005244012227623,Low,5.0,5.0,4.0,Champions
CUST_000213,3510.02,20,1114,1,3510.02,1.0,High,1.0,4.0,4.0,At Risk
CUST_000214,27185.82,38,1114,0,27185.82,0.0002541467068387,Low,5.0,5.0,5.0,Champions
CUST_000215,3147.93,38,1114,0,3147.93,0.0008702014777411,Low,5.0,5.0,4.0,Champions
CUST_000216,27461.84,38,1113,0,27461.84,0.0003575446591104,Low,5.0,5.0,5.0,Champions
CUST_000217,2537.9700000000003,38,1113,0,2537.9700000000003,0.0002482782624815,Low,5.0,5.0,4.0,Champions
CUST_000218,4184.66,38,1112,0,4184.66,0.0002118986452719,Low,5.0,5.0,4.0,Champions
CUST_000219,32420.0,37,1111,0,32420.0,0.0045034948397854,Low,2.0,5.0,5.0,At Risk
CUST_000220,2185.49,37,1108,0,2185.49,0.0141627950983947,Low,2.0,5.0,4.0,At Risk
CUST_000221,103309.84,37,1106,0,103309.84,0.0028824564136968,Low,2.0,5.0,5.0,At Risk
CUST_000222,1925.65,37,1104,0,1925.65,0.0046809531203648,Low,2.0,5.0,3.0,At Risk
CUST_000223,61187.76,37,1101,0,61187.76,0.0017726570019433,Low,1.0,5.0,5.0,At Risk
CUST_000224,34765.32,37,1100,0,34765.32,0.0022411830694892,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000225,1074.48,15,1098,1,1074.48,1.0,High,1.0,4.0,3.0,At Risk
CUST_000226,9764.3,37,1097,0,9764.3,0.0005009435359726,Low,4.0,5.0,5.0,Champions
CUST_000227,23888.39,37,1095,0,23888.39,0.0009267741040333,Low,4.0,5.0,5.0,Champions
CUST_000228,5572.91,37,1095,0,5572.91,0.0064668422253253,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000229,6493.6,37,1093,0,6493.6,0.0002311111754128,Low,4.0,5.0,5.0,Champions
CUST_000230,3599.9,37,1091,0,3599.9,0.0015531578311708,Low,4.0,5.0,4.0,Champions
CUST_000231,5543.17,37,1090,0,5543.17,0.0007672509396594,Low,5.0,5.0,5.0,Champions
CUST_000232,4912.71,23,1090,1,4912.71,0.9999999999999504,High,1.0,5.0,4.0,At Risk
CUST_000233,3570.32,37,1089,0,3570.32,0.0010467731916719,Low,5.0,5.0,4.0,Champions
CUST_000234,4728.47,7,1085,1,4728.47,1.0,High,1.0,3.0,4.0,At Risk
CUST_000235,81496.8,37,1082,0,81496.8,0.0003446595695103,Low,5.0,5.0,5.0,Champions
CUST_000236,41603.93,22,1082,1,41603.93,0.9999999999999998,High,1.0,4.0,5.0,At Risk
CUST_000237,28830.3,36,1081,0,28830.3,0.0095655527895097,Low,1.0,5.0,5.0,At Risk
CUST_000238,47254.59,36,1081,0,47254.59,0.0023780304039525,Low,1.0,5.0,5.0,At Risk
CUST_000239,3800.82,36,1081,0,3800.82,0.0024919575033125,Low,1.0,5.0,4.0,At Risk
CUST_000240,4905.49,36,1081,0,4905.49,0.0038736848302135,Low,2.0,5.0,4.0,At Risk
CUST_000241,5866.29,36,1079,0,5866.29,0.0010242056687002,Low,2.0,5.0,5.0,At Risk
CUST_000242,6153.81,36,1079,0,6153.81,0.0035509875810067,Low,2.0,5.0,5.0,At Risk
CUST_000243,21563.98,36,1078,0,21563.98,0.0031141130525802,Low,2.0,5.0,5.0,At Risk
CUST_000244,3404.04,36,1078,0,3404.04,0.0107183213869573,Low,2.0,5.0,4.0,At Risk
CUST_000245,29127.92,36,1077,0,29127.92,0.0015954825856399,Low,2.0,5.0,5.0,At Risk
CUST_000246,5086.37,36,1077,0,5086.37,0.0013660414292775,Low,2.0,5.0,5.0,At Risk
CUST_000247,3357.65,36,1074,0,3357.65,0.0037788382989344,Low,2.0,5.0,4.0,At Risk
CUST_000248,2416.13,36,1073,0,2416.13,0.0014916378421016,Low,3.0,5.0,4.0,Potential Loyalists
CUST_000249,2329.31,24,1069,1,2329.31,0.9999999999989952,High,1.0,5.0,4.0,At Risk
CUST_000250,39091.68,14,1067,1,39091.68,1.0,High,1.0,3.0,5.0,At Risk
CUST_000251,7472.19,36,1066,0,7472.19,0.000959013835642,Low,4.0,5.0,5.0,Champions
CUST_000252,24904.33,36,1057,0,24904.33,0.0003064478630492,Low,5.0,5.0,5.0,Champions
CUST_000253,1455.52,15,1057,1,1455.52,1.0,High,1.0,3.0,3.0,At Risk
CUST_000254,8252.03,14,1056,1,8252.03,1.0,High,1.0,4.0,5.0,At Risk
CUST_000255,10482.95,36,1054,0,10482.95,0.0001487441682463,Low,5.0,5.0,5.0,Champions
CUST_000256,6214.88,24,1052,1,6214.88,0.9999999999871004,High,1.0,5.0,5.0,At Risk
CUST_000257,27343.99,35,1050,0,27343.99,0.0024775928894411,Low,1.0,5.0,5.0,At Risk
CUST_000258,1704.43,35,1047,0,1704.43,0.0041926750791293,Low,2.0,5.0,3.0,At Risk
CUST_000259,24158.51,35,1047,0,24158.51,0.0038095221389236,Low,2.0,5.0,5.0,At Risk
CUST_000260,143.74,3,1046,1,143.74,1.0,High,1.0,2.0,1.0,Hibernating
CUST_000261,2567.23,35,1045,0,2567.23,0.0104515939108055,Low,2.0,5.0,4.0,At Risk
CUST_000262,32422.29,35,1045,0,32422.29,0.0022969678176123,Low,2.0,5.0,5.0,At Risk
CUST_000263,8762.460000000001,35,1044,0,8762.460000000001,0.0033540518327691,Low,2.0,5.0,5.0,At Risk
CUST_000264,499.65,10,1041,1,499.65,1.0,High,1.0,3.0,2.0,At Risk
CUST_000265,34634.68,35,1039,0,34634.68,0.001370168376668,Low,3.0,5.0,5.0,Potential Loyalists
CUST_000266,59616.86,35,1039,0,59616.86,0.0008219353376427,Low,3.0,5.0,5.0,Potential Loyalists
