customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,segment,country,industry,subscription_type
CUST_000029,0,44,3058.56,5,5,4,554,14,Champions,USA,Education,Basic
CUST_000030,0,42,3318.22,5,5,4,554,14,Champions,USA,Healthcare,Basic
CUST_000031,60,45,4006.73,1,5,4,154,10,At Risk,UK,Energy,Basic
CUST_000032,27,44,1562.09,2,5,3,253,10,At Risk,Japan,Manufacturing,Basic
CUST_000033,25,41,6359.93,2,5,5,255,12,At Risk,USA,Finance,Professional
CUST_000034,24,45,18146.01,2,5,5,255,12,At Risk,USA,Energy,Enterprise
CUST_000035,1283,5,5785.95,1,2,5,125,8,Hibernating,USA,Media,Premium
CUST_000036,981,15,1285.05,1,4,3,143,8,At Risk,Australia,Retail,Basic
CUST_000037,19,45,44326.72,3,5,5,355,13,Potential Loyalists,USA,Education,Enterprise
CUST_000038,19,45,4987.13,3,5,5,355,13,Potential Loyalists,Canada,Media,Professional
CUST_000039,14,43,2411.74,4,5,4,454,13,Champions,Australia,Energy,Basic
CUST_000040,15,43,4284.1,4,5,4,454,13,Champions,UK,Media,Basic
CUST_000041,46,41,6122.62,1,5,5,155,11,At Risk,Japan,Education,Professional
CUST_000042,1304,4,368.34,1,2,2,122,5,Hibernating,UK,Education,Basic
CUST_000043,14,40,3414.23,4,5,4,454,13,Champions,UK,Education,Basic
CUST_000044,11,47,5221.13,4,5,5,455,14,Champions,Canada,Finance,Professional
CUST_000045,14,42,10305.7,4,5,5,455,14,Champions,Brazil,Real Estate,Professional
CUST_000046,10,45,11337.38,4,5,5,455,14,Champions,USA,Finance,Professional
CUST_000047,665,25,4958.89,1,5,5,155,11,At Risk,Australia,Real Estate,Professional
CUST_000048,992,13,3704.6,1,4,4,144,9,At Risk,Australia,Technology,Professional
CUST_000049,809,19,2923.53,1,4,4,144,9,At Risk,Germany,Technology,Professional
CUST_000050,24,42,2849.13,2,5,4,254,11,At Risk,USA,Finance,Basic
CUST_000051,55,43,8790.31,1,5,5,155,11,At Risk,USA,Consulting,Professional
CUST_000052,1193,5,1241.77,1,2,3,123,6,Hibernating,UK,Healthcare,Professional
CUST_000053,21,37,1918.41,3,5,4,354,12,Potential Loyalists,Brazil,Retail,Basic
CUST_000054,24,43,20978.07,2,5,5,255,12,At Risk,UK,Technology,Enterprise
CUST_000055,21,45,2814.94,3,5,4,354,12,Potential Loyalists,USA,Consulting,Basic
CUST_000056,22,41,3666.43,3,5,4,354,12,Potential Loyalists,USA,Healthcare,Basic
CUST_000057,1042,11,7885.21,1,3,5,135,9,At Risk,Brazil,Real Estate,Enterprise
CUST_000058,1158,6,4353.79,1,2,4,124,7,Hibernating,France,Technology,Enterprise
CUST_000059,18,39,1812.57,3,5,3,353,11,Potential Loyalists,Australia,Consulting,Basic
CUST_000060,10,42,6752.14,4,5,5,455,14,Champions,Brazil,Finance,Professional
CUST_000061,992,11,8054.66,1,3,5,135,9,At Risk,Australia,Technology,Enterprise
CUST_000062,5,44,3039.27,5,5,4,554,14,Champions,UK,Retail,Basic
CUST_000063,1,40,9397.02,5,5,5,555,15,Champions,USA,Finance,Professional
CUST_000064,1290,3,1943.92,1,2,4,124,7,Hibernating,Australia,Healthcare,Enterprise
CUST_000065,32,43,4913.6,1,5,5,155,11,At Risk,USA,Education,Professional
CUST_000066,990,13,866.44,1,4,2,142,7,At Risk,UK,Energy,Basic
CUST_000067,26,42,2853.46,2,5,4,254,11,At Risk,USA,Energy,Basic
CUST_000068,26,41,3721.71,2,5,4,254,11,At Risk,India,Media,Basic
CUST_000069,18,43,9780.19,3,5,5,355,13,Potential Loyalists,Germany,Technology,Professional
CUST_000070,1188,6,8771.17,1,2,5,125,8,Hibernating,UK,Education,Premium
CUST_000071,17,44,2445.94,3,5,4,354,12,Potential Loyalists,India,Technology,Basic
CUST_000072,17,42,2268.4,3,5,4,354,12,Potential Loyalists,Germany,Healthcare,Basic
CUST_000073,17,42,3525.35,3,5,4,354,12,Potential Loyalists,USA,Healthcare,Basic
CUST_000074,17,44,5513.54,3,5,5,355,13,Potential Loyalists,France,Education,Professional
CUST_000075,1214,5,325.48,1,2,1,121,4,Hibernating,USA,Education,Basic
CUST_000076,10,41,3551.9900000000002,4,5,4,454,13,Champions,Brazil,Finance,Basic
CUST_000077,1029,9,2648.34,1,3,4,134,8,At Risk,USA,Real Estate,Professional
CUST_000078,5,44,3295.58,5,5,4,554,14,Champions,Singapore,Real Estate,Basic
CUST_000079,785,18,6151.39,1,4,5,145,10,At Risk,Canada,Finance,Enterprise
CUST_000080,1264,2,204.94,1,1,1,111,3,Hibernating,USA,Real Estate,Professional
CUST_000081,1,43,4824.33,5,5,5,555,15,Champions,UK,Retail,Professional
CUST_000082,30,41,11383.16,2,5,5,255,12,At Risk,France,Retail,Professional
CUST_000083,25,41,39375.29,2,5,5,255,12,At Risk,USA,Education,Enterprise
CUST_000084,25,42,2385.94,2,5,4,254,11,At Risk,UK,Energy,Basic
CUST_000085,24,42,8316.55,2,5,5,255,12,At Risk,USA,Energy,Professional
CUST_000086,50,41,3412.86,1,5,4,154,10,At Risk,Canada,Technology,Basic
CUST_000087,20,40,1985.55,3,5,4,354,12,Potential Loyalists,Germany,Retail,Basic
CUST_000088,18,37,3395.2,3,5,4,354,12,Potential Loyalists,France,Technology,Basic
CUST_000089,49,40,1983.95,1,5,4,154,10,At Risk,Canada,Education,Basic
CUST_000090,706,20,1181.41,1,4,3,143,8,At Risk,India,Education,Basic
CUST_000091,17,41,3393.85,3,5,4,354,12,Potential Loyalists,UK,Media,Basic
CUST_000092,15,42,22520.71,4,5,5,455,14,Champions,Brazil,Media,Enterprise
CUST_000093,1213,3,573.79,1,2,2,122,5,Hibernating,USA,Finance,Professional
CUST_000094,763,19,3285.37,1,4,4,144,9,At Risk,Australia,Real Estate,Professional
CUST_000095,12,40,1930.82,4,5,4,454,13,Champions,Germany,Energy,Basic
CUST_000096,10,44,35865.29,4,5,5,455,14,Champions,USA,Healthcare,Enterprise
CUST_000097,10,44,8153.53,4,5,5,455,14,Champions,Brazil,Healthcare,Professional
CUST_000098,10,39,2642.25,4,5,4,454,13,Champions,UK,Finance,Basic
CUST_000099,3,43,15913.63,5,5,5,555,15,Champions,Canada,Education,Enterprise
CUST_000100,28,40,30884.67,2,5,5,255,12,At Risk,Brazil,Education,Enterprise
CUST_000101,28,40,2445.48,2,5,4,254,11,At Risk,France,Manufacturing,Basic
CUST_000102,28,41,17000.95,2,5,5,255,12,At Risk,USA,Media,Enterprise
CUST_000103,26,41,2239.99,2,5,4,254,11,At Risk,France,Real Estate,Basic
CUST_000104,22,43,10585.04,3,5,5,355,13,Potential Loyalists,USA,Technology,Professional
CUST_000105,18,41,2969.45,3,5,4,354,12,Potential Loyalists,USA,Education,Basic
CUST_000106,16,43,6712.9,3,5,5,355,13,Potential Loyalists,Germany,Media,Professional
CUST_000107,14,42,1438.75,4,5,3,453,12,Loyal Customers,France,Technology,Basic
CUST_000108,13,39,2220.03,4,5,4,454,13,Champions,Canada,Media,Basic
CUST_000109,10,42,12316.0,4,5,5,455,14,Champions,UK,Finance,Professional
CUST_000110,970,11,9850.1,1,3,5,135,9,At Risk,France,Finance,Enterprise
CUST_000111,8,41,4484.31,5,5,4,554,14,Champions,France,Real Estate,Professional
CUST_000112,8,37,1696.54,5,5,3,553,13,Loyal Customers,USA,Healthcare,Basic
CUST_000113,7,41,2227.36,5,5,4,554,14,Champions,USA,Education,Basic
CUST_000114,8,41,1276.36,5,5,3,553,13,Loyal Customers,Singapore,Consulting,Basic
CUST_000115,7,38,8936.14,5,5,5,555,15,Champions,Brazil,Finance,Professional
CUST_000116,847,12,2047.19,1,4,4,144,9,At Risk,Australia,Education,Professional
CUST_000117,5,39,8528.28,5,5,5,555,15,Champions,France,Healthcare,Professional
CUST_000118,7,38,6733.55,5,5,5,555,15,Champions,USA,Energy,Professional
CUST_000119,2,43,3261.95,5,5,4,554,14,Champions,USA,Education,Basic
CUST_000120,31,40,3871.41,1,5,4,154,10,At Risk,France,Retail,Basic
CUST_000121,28,40,98955.52,2,5,5,255,12,At Risk,India,Technology,Premium
CUST_000122,26,40,2602.52,2,5,4,254,11,At Risk,Brazil,Real Estate,Basic
CUST_000123,27,40,15760.32,2,5,5,255,12,At Risk,USA,Energy,Enterprise
CUST_000124,20,39,96242.34,3,5,5,355,13,Potential Loyalists,UK,Manufacturing,Premium
CUST_000125,982,10,9975.52,1,3,5,135,9,At Risk,India,Retail,Enterprise
CUST_000126,48,38,2963.68,1,5,4,154,10,At Risk,USA,Manufacturing,Basic
CUST_000127,16,40,1765.6299999999999,3,5,3,353,11,Potential Loyalists,Japan,Real Estate,Basic
CUST_000128,979,9,2390.58,1,3,4,134,8,At Risk,USA,Finance,Professional
CUST_000129,42,40,5422.94,1,5,5,155,11,At Risk,India,Real Estate,Professional
CUST_000130,612,22,2170.02,1,5,4,154,10,At Risk,France,Real Estate,Basic
CUST_000131,11,40,94623.95,4,5,5,455,14,Champions,France,Education,Premium
CUST_000132,1027,7,1505.85,1,3,3,133,7,At Risk,USA,Healthcare,Professional
CUST_000133,901,11,3038.67,1,3,4,134,8,At Risk,Japan,Manufacturing,Professional
CUST_000134,4,41,10017.17,5,5,5,555,15,Champions,Canada,Finance,Professional
CUST_000135,57,36,3098.63,1,5,4,154,10,At Risk,UK,Finance,Basic
CUST_000136,27,41,19228.47,2,5,5,255,12,At Risk,Australia,Energy,Enterprise
CUST_000137,27,39,34579.74,2,5,5,255,12,At Risk,Japan,Retail,Enterprise
CUST_000138,29,39,10214.02,2,5,5,255,12,At Risk,Germany,Retail,Professional
CUST_000139,25,39,6736.33,2,5,5,255,12,At Risk,Australia,Technology,Professional
CUST_000140,23,38,21339.6,2,5,5,255,12,At Risk,Canada,Consulting,Enterprise
CUST_000141,20,38,1480.99,3,5,3,353,11,Potential Loyalists,Brazil,Energy,Basic
CUST_000142,22,40,1377.29,3,5,3,353,11,Potential Loyalists,UK,Healthcare,Basic
CUST_000143,21,35,3547.16,3,5,4,354,12,Potential Loyalists,France,Media,Basic
CUST_000144,17,39,8210.5,3,5,5,355,13,Potential Loyalists,Germany,Real Estate,Professional
CUST_000145,17,36,9723.77,3,5,5,355,13,Potential Loyalists,USA,Media,Professional
CUST_000146,14,40,1542.81,4,5,3,453,12,Loyal Customers,USA,Healthcare,Basic
CUST_000147,10,36,2668.55,4,5,4,454,13,Champions,Japan,Education,Basic
CUST_000148,41,38,7475.4,1,5,5,155,11,At Risk,USA,Real Estate,Professional
CUST_000149,968,8,420.88,1,3,2,132,6,At Risk,Australia,Energy,Basic
CUST_000150,666,19,1407.0,1,4,3,143,8,At Risk,France,Energy,Basic
CUST_000151,935,9,2288.81,1,3,4,134,8,At Risk,USA,Finance,Professional
CUST_000152,3,39,7382.79,5,5,5,555,15,Champions,Germany,Finance,Professional
CUST_000153,515,22,59247.659999999996,1,5,5,155,11,At Risk,Canada,Technology,Premium
CUST_000154,2,37,1498.41,5,5,3,553,13,Loyal Customers,Germany,Energy,Basic
CUST_000155,62,37,1516.04,1,5,3,153,9,At Risk,Australia,Finance,Basic
CUST_000156,30,38,2058.71,2,5,4,254,11,At Risk,UK,Retail,Basic
CUST_000157,898,9,25873.57,1,3,5,135,9,At Risk,USA,Energy,Premium
CUST_000158,1139,3,470.55,1,2,2,122,5,Hibernating,Japan,Healthcare,Professional
CUST_000159,27,38,1848.74,2,5,3,253,10,At Risk,UK,Energy,Basic
CUST_000160,24,36,2635.42,2,5,4,254,11,At Risk,USA,Manufacturing,Basic
CUST_000161,1103,4,860.79,1,2,2,122,5,Hibernating,Germany,Healthcare,Professional
CUST_000162,25,39,2814.68,2,5,4,254,11,At Risk,France,Finance,Basic
CUST_000163,745,16,2176.37,1,4,4,144,9,At Risk,India,Consulting,Professional
CUST_000164,24,39,9467.56,2,5,5,255,12,At Risk,Germany,Consulting,Professional
CUST_000165,23,36,1922.48,2,5,4,254,11,At Risk,UK,Consulting,Basic
CUST_000166,18,39,13095.66,3,5,5,355,13,Potential Loyalists,UK,Consulting,Enterprise
CUST_000167,829,13,459.1,1,4,2,142,7,At Risk,USA,Technology,Basic
CUST_000168,1006,7,348.0,1,3,2,132,6,At Risk,USA,Consulting,Basic
CUST_000169,18,38,9595.72,3,5,5,355,13,Potential Loyalists,Japan,Retail,Professional
CUST_000170,645,17,1247.72,1,4,3,143,8,At Risk,Germany,Media,Basic
CUST_000171,14,38,7725.2300000000005,4,5,5,455,14,Champions,Germany,Technology,Professional
CUST_000172,15,40,6453.72,4,5,5,455,14,Champions,USA,Energy,Professional
CUST_000173,12,36,7078.44,4,5,5,455,14,Champions,UK,Manufacturing,Professional
CUST_000174,8,40,2024.64,5,5,4,554,14,Champions,France,Media,Basic
CUST_000175,731,16,3823.8199999999997,1,4,4,144,9,At Risk,UK,Healthcare,Professional
CUST_000176,7,37,22537.86,5,5,5,555,15,Champions,Germany,Finance,Enterprise
CUST_000177,866,11,725.1899999999999,1,3,2,132,6,At Risk,France,Real Estate,Basic
CUST_000178,656,18,4108.15,1,4,4,144,9,At Risk,USA,Education,Professional
CUST_000179,24,33,9120.41,2,5,5,255,12,At Risk,USA,Education,Professional
CUST_000180,924,9,2221.04,1,3,4,134,8,At Risk,India,Education,Professional
CUST_000181,953,8,2389.61,1,3,4,134,8,At Risk,UK,Education,Professional
CUST_000182,22,36,9336.06,3,5,5,355,13,Potential Loyalists,Germany,Finance,Professional
CUST_000183,1012,6,419.2,1,2,2,122,5,Hibernating,India,Energy,Basic
CUST_000184,21,37,17588.98,3,5,5,355,13,Potential Loyalists,India,Education,Enterprise
CUST_000185,14,33,1664.88,4,5,3,453,12,Loyal Customers,USA,Healthcare,Basic
CUST_000186,13,36,1430.17,4,5,3,453,12,Loyal Customers,USA,Retail,Basic
CUST_000187,13,38,6036.8,4,5,5,455,14,Champions,USA,Technology,Professional
CUST_000188,14,36,3266.12,4,5,4,454,13,Champions,USA,Media,Basic
CUST_000189,11,37,1747.6,4,5,3,453,12,Loyal Customers,Japan,Media,Basic
CUST_000190,911,8,710.06,1,3,2,132,6,At Risk,Australia,Finance,Basic
CUST_000191,10,38,9288.33,4,5,5,455,14,Champions,USA,Consulting,Professional
CUST_000192,7,37,31269.09,5,5,5,555,15,Champions,France,Retail,Enterprise
CUST_000193,7,37,37398.93,5,5,5,555,15,Champions,Canada,Real Estate,Enterprise
CUST_000194,7,36,2374.63,5,5,4,554,14,Champions,USA,Real Estate,Basic
CUST_000195,6,32,21095.41,5,5,5,555,15,Champions,Australia,Manufacturing,Enterprise
CUST_000196,814,12,3434.88,1,4,4,144,9,At Risk,Singapore,Healthcare,Professional
CUST_000197,28,33,20892.6,2,5,5,255,12,At Risk,UK,Energy,Enterprise
CUST_000198,31,38,54812.909999999996,1,5,5,155,11,At Risk,UK,Retail,Premium
CUST_000199,985,6,703.12,1,3,2,132,6,At Risk,Japan,Education,Professional
CUST_000200,21,37,24651.91,3,5,5,355,13,Potential Loyalists,Australia,Manufacturing,Enterprise
CUST_000201,20,34,16932.53,3,5,5,355,13,Potential Loyalists,USA,Real Estate,Enterprise
CUST_000202,21,36,32777.68,3,5,5,355,13,Potential Loyalists,Germany,Technology,Enterprise
CUST_000203,738,12,5048.9,1,4,5,145,10,At Risk,UK,Media,Enterprise
CUST_000204,18,36,2900.72,3,5,4,354,12,Potential Loyalists,UK,Manufacturing,Basic
CUST_000205,16,38,2094.39,3,5,4,354,12,Potential Loyalists,Brazil,Media,Basic
CUST_000206,15,38,42866.57,4,5,5,455,14,Champions,UK,Media,Premium
CUST_000207,16,37,5105.35,3,5,5,355,13,Potential Loyalists,India,Energy,Professional
CUST_000208,16,37,5893.22,3,5,5,355,13,Potential Loyalists,France,Energy,Professional
CUST_000209,10,38,2488.33,4,5,4,454,13,Champions,USA,Media,Basic
CUST_000210,9,38,19556.55,4,5,5,455,14,Champions,Canada,Energy,Enterprise
CUST_000211,726,12,9327.47,1,4,5,145,10,At Risk,Australia,Consulting,Enterprise
CUST_000212,8,36,4535.01,5,5,4,554,14,Champions,USA,Healthcare,Professional
CUST_000213,542,20,3510.02,1,4,4,144,9,At Risk,USA,Healthcare,Professional
CUST_000214,3,38,27185.82,5,5,5,555,15,Champions,UK,Education,Enterprise
CUST_000215,4,36,2974.9,5,5,4,554,14,Champions,UK,Education,Basic
CUST_000216,2,35,25375.59,5,5,5,555,15,Champions,USA,Retail,Enterprise
CUST_000217,2,38,2537.9700000000003,5,5,4,554,14,Champions,France,Media,Basic
CUST_000218,4,35,3857.39,5,5,4,554,14,Champions,USA,Technology,Professional
CUST_000219,29,36,31552.54,2,5,5,255,12,At Risk,USA,Education,Enterprise
CUST_000220,26,33,2061.0,2,5,4,254,11,At Risk,Canada,Energy,Basic
CUST_000221,24,33,91809.0,2,5,5,255,12,At Risk,USA,Consulting,Premium
CUST_000222,24,35,1818.52,2,5,3,253,10,At Risk,UK,Finance,Basic
CUST_000223,52,34,56228.04,1,5,5,155,11,At Risk,Australia,Consulting,Premium
CUST_000224,19,34,33624.21,3,5,5,355,13,Potential Loyalists,Singapore,Media,Enterprise
CUST_000225,677,13,927.8,1,4,3,143,8,At Risk,UK,Manufacturing,Basic
CUST_000226,15,37,9764.3,4,5,5,455,14,Champions,Australia,Energy,Professional
CUST_000227,13,35,22636.03,4,5,5,455,14,Champions,UK,Energy,Enterprise
CUST_000228,16,30,4801.53,3,5,4,354,12,Potential Loyalists,USA,Consulting,Professional
CUST_000229,13,37,6493.6,4,5,5,455,14,Champions,USA,Technology,Professional
CUST_000230,9,33,3184.0,4,5,4,454,13,Champions,USA,Healthcare,Basic
CUST_000231,8,34,5709.71,5,5,5,555,15,Champions,USA,Consulting,Professional
CUST_000232,428,22,4712.67,1,5,4,154,10,At Risk,Canada,Technology,Professional
CUST_000233,8,34,3289.02,5,5,4,554,14,Champions,India,Manufacturing,Basic
CUST_000234,905,7,4728.47,1,3,4,134,8,At Risk,USA,Consulting,Enterprise
CUST_000235,0,32,70747.84,5,5,5,555,15,Champions,USA,Technology,Premium
CUST_000236,482,19,39684.63,1,4,5,145,10,At Risk,USA,Finance,Premium
CUST_000237,31,33,27850.4,1,5,5,155,11,At Risk,USA,Consulting,Enterprise
CUST_000238,32,35,46024.41,1,5,5,155,11,At Risk,Germany,Media,Premium
CUST_000239,33,35,3694.69,1,5,4,154,10,At Risk,USA,Retail,Professional
CUST_000240,30,33,4770.76,2,5,4,254,11,At Risk,India,Healthcare,Professional
CUST_000241,27,36,5866.29,2,5,5,255,12,At Risk,France,Real Estate,Professional
CUST_000242,28,33,5987.33,2,5,5,255,12,At Risk,Germany,Finance,Professional
CUST_000243,30,34,20439.12,2,5,5,255,12,At Risk,France,Retail,Enterprise
CUST_000244,27,34,3206.05,2,5,4,254,11,At Risk,USA,Consulting,Basic
CUST_000245,29,35,28227.95,2,5,5,255,12,At Risk,India,Technology,Enterprise
CUST_000246,25,36,5086.37,2,5,5,255,12,At Risk,Germany,Energy,Professional
CUST_000247,24,35,3455.09,2,5,4,254,11,At Risk,USA,Education,Basic
CUST_000248,22,36,2416.13,3,5,4,354,12,Potential Loyalists,Germany,Real Estate,Basic
CUST_000249,380,23,2233.87,1,5,4,154,10,At Risk,France,Education,Basic
CUST_000250,678,11,30903.57,1,3,5,135,9,At Risk,Singapore,Real Estate,Premium
CUST_000251,14,34,7067.47,4,5,5,455,14,Champions,Canada,Education,Professional
CUST_000252,5,35,25591.48,5,5,5,555,15,Champions,UK,Manufacturing,Enterprise
CUST_000253,638,9,915.32,1,3,3,133,7,At Risk,Canada,Retail,Basic
CUST_000254,667,13,8916.95,1,4,5,145,10,At Risk,Brazil,Manufacturing,Enterprise
CUST_000255,3,35,10192.52,5,5,5,555,15,Champions,India,Retail,Professional
CUST_000256,364,23,5987.16,1,5,5,155,11,At Risk,France,Manufacturing,Professional
CUST_000257,32,34,26596.17,1,5,5,155,11,At Risk,India,Retail,Enterprise
CUST_000258,26,33,1708.45,2,5,3,253,10,At Risk,USA,Real Estate,Basic
CUST_000259,26,34,23466.36,2,5,5,255,12,At Risk,UK,Education,Enterprise
CUST_000260,987,3,143.74,1,2,1,121,4,Hibernating,Singapore,Manufacturing,Basic
CUST_000261,25,32,2486.51,2,5,4,254,11,At Risk,France,Consulting,Basic
CUST_000262,27,34,31528.65,2,5,5,255,12,At Risk,India,Media,Enterprise
CUST_000263,26,31,8313.98,2,5,5,255,12,At Risk,Japan,Media,Professional
CUST_000264,770,9,450.39,1,3,2,132,6,At Risk,UK,Finance,Basic
CUST_000265,21,34,33675.42,3,5,5,355,13,Potential Loyalists,USA,Manufacturing,Enterprise
CUST_000266,18,33,56490.14,3,5,5,355,13,Potential Loyalists,Australia,Healthcare,Premium
CUST_000267,647,13,3001.51,1,4,4,144,9,At Risk,Singapore,Real Estate,Professional
CUST_000268,46,32,46529.86,1,5,5,155,11,At Risk,Australia,Real Estate,Premium
CUST_000269,14,32,1575.78,4,5,3,453,12,Loyal Customers,Japan,Energy,Basic
CUST_000270,430,18,1452.18,1,4,3,143,8,At Risk,Germany,Energy,Basic
CUST_000271,9,35,4227.28,4,5,4,454,13,Champions,India,Finance,Professional
CUST_000272,9,33,4801.53,4,5,4,454,13,Champions,USA,Consulting,Professional
CUST_000273,11,34,2592.99,4,5,4,454,13,Champions,France,Technology,Basic
CUST_000274,852,7,986.47,1,3,3,133,7,At Risk,USA,Energy,Professional
CUST_000275,672,11,3667.02,1,3,4,134,8,At Risk,Germany,Retail,Enterprise
CUST_000276,760,9,4840.93,1,3,5,135,9,At Risk,Germany,Media,Enterprise
CUST_000277,9,33,4033.26,4,5,4,454,13,Champions,Germany,Real Estate,Professional
CUST_000278,971,3,298.31,1,2,1,121,4,Hibernating,Japan,Finance,Professional
CUST_000279,9,33,3292.67,4,5,4,454,13,Champions,USA,Energy,Basic
CUST_000280,2,35,6378.67,5,5,5,555,15,Champions,Australia,Finance,Professional
CUST_000281,5,30,1893.8,5,5,3,553,13,Loyal Customers,Canada,Real Estate,Basic
CUST_000282,4,32,2684.59,5,5,4,554,14,Champions,USA,Retail,Basic
CUST_000283,0,33,5467.93,5,5,5,555,15,Champions,UK,Manufacturing,Professional
CUST_000284,30,33,9335.19,2,5,5,255,12,At Risk,UK,Technology,Professional
CUST_000285,33,32,2490.7,1,5,4,154,10,At Risk,Brazil,Healthcare,Basic
CUST_000286,30,33,22864.010000000002,2,5,5,255,12,At Risk,Germany,Retail,Enterprise
CUST_000287,27,34,9797.27,2,5,5,255,12,At Risk,UK,Technology,Professional
CUST_000288,26,31,56566.88,2,5,5,255,12,At Risk,Japan,Finance,Premium
CUST_000289,26,31,30248.13,2,5,5,255,12,At Risk,USA,Finance,Enterprise
CUST_000290,55,29,2882.93,1,5,4,154,10,At Risk,Germany,Technology,Basic
CUST_000291,22,32,86216.31999999999,3,5,5,355,13,Potential Loyalists,Germany,Media,Premium
CUST_000292,773,8,763.81,1,3,2,132,6,At Risk,Germany,Finance,Basic
CUST_000293,652,11,973.56,1,3,3,133,7,At Risk,France,Manufacturing,Basic
CUST_000294,381,20,1012.35,1,4,3,143,8,At Risk,USA,Technology,Basic
CUST_000295,18,32,1197.08,3,5,3,353,11,Potential Loyalists,USA,Consulting,Basic
CUST_000296,19,31,4846.51,3,5,5,355,13,Potential Loyalists,USA,Education,Professional
CUST_000297,19,33,2296.5299999999997,3,5,4,354,12,Potential Loyalists,USA,Energy,Basic
CUST_000298,16,31,8793.66,3,5,5,355,13,Potential Loyalists,Brazil,Finance,Professional
CUST_000299,18,32,1533.76,3,5,3,353,11,Potential Loyalists,France,Real Estate,Basic
CUST_000300,18,33,1760.61,3,5,3,353,11,Potential Loyalists,USA,Healthcare,Basic
CUST_000301,17,32,2374.68,3,5,4,354,12,Potential Loyalists,USA,Real Estate,Basic
CUST_000302,13,32,959.2,4,5,3,453,12,Loyal Customers,USA,Finance,Basic
CUST_000303,16,33,8538.84,3,5,5,355,13,Potential Loyalists,USA,Education,Professional
CUST_000304,13,33,2545.98,4,5,4,454,13,Champions,USA,Consulting,Basic
CUST_000305,14,34,4572.21,4,5,4,454,13,Champions,Germany,Retail,Professional
CUST_000306,11,31,28187.03,4,5,5,455,14,Champions,USA,Media,Enterprise
CUST_000307,10,33,1730.29,4,5,3,453,12,Loyal Customers,France,Energy,Basic
CUST_000308,3,31,23968.21,5,5,5,555,15,Champions,Japan,Media,Enterprise
CUST_000309,2,33,3295.97,5,5,4,554,14,Champions,USA,Finance,Basic
CUST_000310,32,33,5405.82,1,5,5,155,11,At Risk,Australia,Real Estate,Professional
CUST_000311,839,5,142.06,1,2,1,121,4,Hibernating,USA,Retail,Basic
CUST_000312,447,17,2513.47,1,4,4,144,9,At Risk,UK,Media,Professional
CUST_000313,29,31,3013.29,2,5,4,254,11,At Risk,France,Manufacturing,Basic
CUST_000314,57,28,6087.69,1,5,5,155,11,At Risk,Germany,Manufacturing,Professional
CUST_000315,28,31,978.95,2,5,3,253,10,At Risk,USA,Consulting,Basic
CUST_000316,745,8,6586.46,1,3,5,135,9,At Risk,Canada,Education,Enterprise
