customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,rfm_segment,country,industry,subscription_type,signup_date,cluster,behavioral_segment
CUST_000043,15,40,3414.23,4,5,4,454,13,Champions,UK,Education,Basic,2021-03-10,1,VIP Elite
CUST_000044,12,47,5221.13,4,5,5,455,14,Champions,Canada,Finance,Professional,2021-03-12,1,VIP Elite
CUST_000045,15,42,10305.7,4,5,5,455,14,Champions,Brazil,Real Estate,Professional,2021-03-12,1,VIP Elite
CUST_000046,11,45,11337.38,4,5,5,455,14,Champions,USA,Finance,Professional,2021-03-16,1,VIP Elite
CUST_000047,666,25,4958.89,1,5,5,155,11,At Risk,Australia,Real Estate,Professional,2021-03-20,2,Growth Potential
CUST_000048,993,13,3704.6,1,4,4,144,9,At Risk,Australia,Technology,Professional,2021-03-20,2,Growth Potential
CUST_000049,810,19,2923.53,1,4,4,144,9,At Risk,Germany,Technology,Professional,2021-03-27,2,Growth Potential
CUST_000050,25,42,2849.13,2,5,4,254,11,At Risk,USA,Finance,Basic,2021-03-28,1,VIP Elite
CUST_000051,56,43,8790.31,1,5,5,155,11,At Risk,USA,Consulting,Professional,2021-03-30,1,VIP Elite
CUST_000052,1194,5,1241.77,1,2,3,123,6,Hibernating,UK,Healthcare,Professional,2021-03-30,2,Growth Potential
CUST_000053,22,37,1918.41,3,5,4,354,12,Loyal Customers,Brazil,Retail,Basic,2021-03-31,1,VIP Elite
CUST_000054,25,43,20978.07,2,5,5,255,12,At Risk,UK,Technology,Enterprise,2021-03-31,1,VIP Elite
CUST_000055,22,45,2814.94,3,5,4,354,12,Loyal Customers,USA,Consulting,Basic,2021-04-01,1,VIP Elite
CUST_000056,23,41,3666.43,3,5,4,354,12,Loyal Customers,USA,Healthcare,Basic,2021-04-02,1,VIP Elite
CUST_000057,1043,11,7885.21,1,3,5,135,9,At Risk,Brazil,Real Estate,Enterprise,2021-04-02,2,Growth Potential
CUST_000058,1159,6,4353.79,1,2,4,124,7,Hibernating,France,Technology,Enterprise,2021-04-04,2,Growth Potential
CUST_000059,19,39,1812.57,3,5,3,353,11,Promising,Australia,Consulting,Basic,2021-04-04,1,VIP Elite
CUST_000060,11,42,6752.14,4,5,5,455,14,Champions,Brazil,Finance,Professional,2021-04-15,1,VIP Elite
CUST_000061,993,11,8054.66,1,3,5,135,9,At Risk,Australia,Technology,Enterprise,2021-04-20,2,Growth Potential
CUST_000062,6,44,3039.27,5,5,4,554,14,Champions,UK,Retail,Basic,2021-04-20,1,VIP Elite
CUST_000063,2,40,9397.02,5,5,5,555,15,Champions,USA,Finance,Professional,2021-04-21,1,VIP Elite
CUST_000064,1291,3,1943.92,1,2,4,124,7,Hibernating,Australia,Healthcare,Enterprise,2021-04-21,2,Growth Potential
CUST_000065,33,43,4913.6,1,5,5,155,11,At Risk,USA,Education,Professional,2021-04-23,1,VIP Elite
CUST_000066,991,13,866.44,1,4,2,142,7,Lost,UK,Energy,Basic,2021-04-23,2,Growth Potential
CUST_000067,27,42,2853.46,2,5,4,254,11,At Risk,USA,Energy,Basic,2021-04-26,1,VIP Elite
CUST_000068,27,41,3721.71,2,5,4,254,11,At Risk,India,Media,Basic,2021-04-28,1,VIP Elite
CUST_000069,19,43,9780.19,3,5,5,355,13,Loyal Customers,Germany,Technology,Professional,2021-05-03,1,VIP Elite
CUST_000070,1189,6,8771.17,1,2,5,125,8,Hibernating,UK,Education,Premium,2021-05-04,2,Growth Potential
CUST_000071,18,44,2445.94,3,5,4,354,12,Loyal Customers,India,Technology,Basic,2021-05-05,1,VIP Elite
CUST_000072,18,42,2268.4,3,5,4,354,12,Loyal Customers,Germany,Healthcare,Basic,2021-05-06,1,VIP Elite
CUST_000073,18,42,3525.35,3,5,4,354,12,Loyal Customers,USA,Healthcare,Basic,2021-05-06,1,VIP Elite
CUST_000074,18,44,5513.54,3,5,5,355,13,Loyal Customers,France,Education,Professional,2021-05-07,1,VIP Elite
CUST_000075,1215,5,325.48,1,2,1,121,4,Hibernating,USA,Education,Basic,2021-05-08,2,Growth Potential
CUST_000076,11,41,3551.9900000000002,4,5,4,454,13,Champions,Brazil,Finance,Basic,2021-05-12,1,VIP Elite
CUST_000077,1030,9,2648.34,1,3,4,134,8,At Risk,USA,Real Estate,Professional,2021-05-16,2,Growth Potential
CUST_000078,6,44,3295.58,5,5,4,554,14,Champions,Singapore,Real Estate,Basic,2021-05-16,1,VIP Elite
CUST_000079,786,18,6151.39,1,4,5,145,10,At Risk,Canada,Finance,Enterprise,2021-05-17,2,Growth Potential
CUST_000080,1265,2,204.94,1,1,1,111,3,Hibernating,USA,Real Estate,Professional,2021-05-17,2,Growth Potential
CUST_000081,2,43,4824.33,5,5,5,555,15,Champions,UK,Retail,Professional,2021-05-20,1,VIP Elite
CUST_000082,31,41,11383.16,2,5,5,255,12,At Risk,France,Retail,Professional,2021-05-25,1,VIP Elite
CUST_000083,26,41,39375.29,2,5,5,255,12,At Risk,USA,Education,Enterprise,2021-05-26,1,VIP Elite
CUST_000084,26,42,2385.94,2,5,4,254,11,At Risk,UK,Energy,Basic,2021-05-27,1,VIP Elite
CUST_000085,25,42,8316.55,2,5,5,255,12,At Risk,USA,Energy,Professional,2021-05-28,1,VIP Elite
CUST_000086,51,41,3412.86,1,5,4,154,10,At Risk,Canada,Technology,Basic,2021-06-01,1,VIP Elite
CUST_000087,21,40,1985.55,3,5,4,354,12,Loyal Customers,Germany,Retail,Basic,2021-06-02,1,VIP Elite
CUST_000088,19,37,3395.2,3,5,4,354,12,Loyal Customers,France,Technology,Basic,2021-06-04,1,VIP Elite
CUST_000089,50,40,1983.95,1,5,4,154,10,At Risk,Canada,Education,Basic,2021-06-04,1,VIP Elite
CUST_000090,707,20,1181.41,1,4,3,143,8,At Risk,India,Education,Basic,2021-06-05,2,Growth Potential
CUST_000091,18,41,3393.85,3,5,4,354,12,Loyal Customers,UK,Media,Basic,2021-06-05,1,VIP Elite
CUST_000092,16,42,22520.71,4,5,5,455,14,Champions,Brazil,Media,Enterprise,2021-06-07,1,VIP Elite
CUST_000093,1214,3,573.79,1,2,2,122,5,Hibernating,USA,Finance,Professional,2021-06-08,2,Growth Potential
CUST_000094,764,19,3285.37,1,4,4,144,9,At Risk,Australia,Real Estate,Professional,2021-06-09,2,Growth Potential
CUST_000095,13,40,1930.82,4,5,4,454,13,Champions,Germany,Energy,Basic,2021-06-11,1,VIP Elite
CUST_000096,11,44,35865.29,4,5,5,455,14,Champions,USA,Healthcare,Enterprise,2021-06-12,1,VIP Elite
CUST_000097,11,44,8153.53,4,5,5,455,14,Champions,Brazil,Healthcare,Professional,2021-06-12,1,VIP Elite
CUST_000098,11,39,2642.25,4,5,4,454,13,Champions,UK,Finance,Basic,2021-06-14,1,VIP Elite
CUST_000099,4,43,15913.63,5,5,5,555,15,Champions,Canada,Education,Enterprise,2021-06-18,1,VIP Elite
CUST_000100,29,40,30884.67,2,5,5,255,12,At Risk,Brazil,Education,Enterprise,2021-06-22,1,VIP Elite
CUST_000101,29,40,2445.48,2,5,4,254,11,At Risk,France,Manufacturing,Basic,2021-06-24,1,VIP Elite
CUST_000102,29,41,17000.95,2,5,5,255,12,At Risk,USA,Media,Enterprise,2021-06-24,1,VIP Elite
CUST_000103,27,41,2239.99,2,5,4,254,11,At Risk,France,Real Estate,Basic,2021-06-28,1,VIP Elite
CUST_000104,23,43,10585.04,3,5,5,355,13,Loyal Customers,USA,Technology,Professional,2021-06-28,1,VIP Elite
CUST_000105,19,41,2969.45,3,5,4,354,12,Loyal Customers,USA,Education,Basic,2021-07-05,1,VIP Elite
CUST_000106,17,43,6712.9,3,5,5,355,13,Loyal Customers,Germany,Media,Professional,2021-07-06,1,VIP Elite
CUST_000107,15,42,1438.75,4,5,3,453,12,Potential Loyalists,France,Technology,Basic,2021-07-06,1,VIP Elite
CUST_000108,14,39,2220.03,4,5,4,454,13,Champions,Canada,Media,Basic,2021-07-10,1,VIP Elite
CUST_000109,11,42,12316.0,4,5,5,455,14,Champions,UK,Finance,Professional,2021-07-11,1,VIP Elite
CUST_000110,971,11,9850.1,1,3,5,135,9,At Risk,France,Finance,Enterprise,2021-07-11,2,Growth Potential
CUST_000111,9,41,4484.31,5,5,4,554,14,Champions,France,Real Estate,Professional,2021-07-12,1,VIP Elite
CUST_000112,9,37,1696.54,5,5,3,553,13,Potential Loyalists,USA,Healthcare,Basic,2021-07-12,1,VIP Elite
CUST_000113,8,41,2227.36,5,5,4,554,14,Champions,USA,Education,Basic,2021-07-13,1,VIP Elite
CUST_000114,9,41,1276.36,5,5,3,553,13,Potential Loyalists,Singapore,Consulting,Basic,2021-07-13,1,VIP Elite
CUST_000115,8,38,8936.14,5,5,5,555,15,Champions,Brazil,Finance,Professional,2021-07-13,1,VIP Elite
CUST_000116,848,12,2047.19,1,4,4,144,9,At Risk,Australia,Education,Professional,2021-07-14,2,Growth Potential
CUST_000117,6,39,8528.28,5,5,5,555,15,Champions,France,Healthcare,Professional,2021-07-15,1,VIP Elite
CUST_000118,8,38,6733.55,5,5,5,555,15,Champions,USA,Energy,Professional,2021-07-16,1,VIP Elite
CUST_000119,3,43,3261.95,5,5,4,554,14,Champions,USA,Education,Basic,2021-07-20,1,VIP Elite
CUST_000120,32,40,3871.41,1,5,4,154,10,At Risk,France,Retail,Basic,2021-07-22,1,VIP Elite
CUST_000121,29,40,98955.52,2,5,5,255,12,At Risk,India,Technology,Premium,2021-07-23,1,VIP Elite
CUST_000122,27,40,2602.52,2,5,4,254,11,At Risk,Brazil,Real Estate,Basic,2021-07-27,1,VIP Elite
CUST_000123,28,40,15760.32,2,5,5,255,12,At Risk,USA,Energy,Enterprise,2021-07-27,1,VIP Elite
CUST_000124,21,39,96242.34,3,5,5,355,13,Loyal Customers,UK,Manufacturing,Premium,2021-07-31,1,VIP Elite
CUST_000125,983,10,9975.52,1,3,5,135,9,At Risk,India,Retail,Enterprise,2021-08-01,2,Growth Potential
CUST_000126,49,38,2963.68,1,5,4,154,10,At Risk,USA,Manufacturing,Basic,2021-08-03,1,VIP Elite
CUST_000127,17,40,1765.6299999999999,3,5,3,353,11,Promising,Japan,Real Estate,Basic,2021-08-04,1,VIP Elite
CUST_000128,980,9,2390.58,1,3,4,134,8,At Risk,USA,Finance,Professional,2021-08-04,2,Growth Potential
CUST_000129,43,40,5422.94,1,5,5,155,11,At Risk,India,Real Estate,Professional,2021-08-07,1,VIP Elite
CUST_000130,613,22,2170.02,1,5,4,154,10,At Risk,France,Real Estate,Basic,2021-08-10,2,Growth Potential
CUST_000131,12,40,94623.95,4,5,5,455,14,Champions,France,Education,Premium,2021-08-11,1,VIP Elite
CUST_000132,1028,7,1505.85,1,3,3,133,7,At Risk,USA,Healthcare,Professional,2021-08-14,2,Growth Potential
CUST_000133,902,11,3038.67,1,3,4,134,8,At Risk,Japan,Manufacturing,Professional,2021-08-19,2,Growth Potential
CUST_000134,5,41,10017.17,5,5,5,555,15,Champions,Canada,Finance,Professional,2021-08-19,1,VIP Elite
CUST_000135,58,36,3098.63,1,5,4,154,10,At Risk,UK,Finance,Basic,2021-08-22,1,VIP Elite
CUST_000136,28,41,19228.47,2,5,5,255,12,At Risk,Australia,Energy,Enterprise,2021-08-22,1,VIP Elite
CUST_000137,28,39,34579.74,2,5,5,255,12,At Risk,Japan,Retail,Enterprise,2021-08-23,1,VIP Elite
CUST_000138,30,39,10214.02,2,5,5,255,12,At Risk,Germany,Retail,Professional,2021-08-24,1,VIP Elite
CUST_000139,26,39,6736.33,2,5,5,255,12,At Risk,Australia,Technology,Professional,2021-08-24,1,VIP Elite
CUST_000140,24,38,21339.6,2,5,5,255,12,At Risk,Canada,Consulting,Enterprise,2021-08-30,1,VIP Elite
CUST_000141,21,38,1480.99,3,5,3,353,11,Promising,Brazil,Energy,Basic,2021-08-31,1,VIP Elite
CUST_000142,23,40,1377.29,3,5,3,353,11,Promising,UK,Healthcare,Basic,2021-08-31,1,VIP Elite
CUST_000143,22,35,3547.16,3,5,4,354,12,Loyal Customers,France,Media,Basic,2021-08-31,1,VIP Elite
CUST_000144,18,39,8210.5,3,5,5,355,13,Loyal Customers,Germany,Real Estate,Professional,2021-09-02,1,VIP Elite
CUST_000145,18,36,9723.77,3,5,5,355,13,Loyal Customers,USA,Media,Professional,2021-09-02,1,VIP Elite
CUST_000146,15,40,1542.81,4,5,3,453,12,Potential Loyalists,USA,Healthcare,Basic,2021-09-04,1,VIP Elite
CUST_000147,11,36,2668.55,4,5,4,454,13,Champions,Japan,Education,Basic,2021-09-09,1,VIP Elite
CUST_000148,42,38,7475.4,1,5,5,155,11,At Risk,USA,Real Estate,Professional,2021-09-10,1,VIP Elite
CUST_000149,969,8,420.88,1,3,2,132,6,Lost,Australia,Energy,Basic,2021-09-12,2,Growth Potential
CUST_000150,667,19,1407.0,1,4,3,143,8,At Risk,France,Energy,Basic,2021-09-12,2,Growth Potential
CUST_000151,936,9,2288.81,1,3,4,134,8,At Risk,USA,Finance,Professional,2021-09-15,2,Growth Potential
CUST_000152,4,39,7382.79,5,5,5,555,15,Champions,Germany,Finance,Professional,2021-09-16,1,VIP Elite
CUST_000153,516,22,59247.659999999996,1,5,5,155,11,At Risk,Canada,Technology,Premium,2021-09-17,1,VIP Elite
CUST_000154,3,37,1498.41,5,5,3,553,13,Potential Loyalists,Germany,Energy,Basic,2021-09-18,1,VIP Elite
CUST_000155,63,37,1516.04,1,5,3,153,9,At Risk,Australia,Finance,Basic,2021-09-19,1,VIP Elite
CUST_000156,31,38,2058.71,2,5,4,254,11,At Risk,UK,Retail,Basic,2021-09-20,1,VIP Elite
CUST_000157,899,9,25873.57,1,3,5,135,9,At Risk,USA,Energy,Premium,2021-09-21,2,Growth Potential
CUST_000158,1140,3,470.55,1,2,2,122,5,Hibernating,Japan,Healthcare,Professional,2021-09-22,2,Growth Potential
CUST_000159,28,38,1848.74,2,5,3,253,10,At Risk,UK,Energy,Basic,2021-09-24,1,VIP Elite
CUST_000160,25,36,2635.42,2,5,4,254,11,At Risk,USA,Manufacturing,Basic,2021-09-24,1,VIP Elite
CUST_000161,1104,4,860.79,1,2,2,122,5,Hibernating,Germany,Healthcare,Professional,2021-09-25,2,Growth Potential
CUST_000162,26,39,2814.68,2,5,4,254,11,At Risk,France,Finance,Basic,2021-09-25,1,VIP Elite
CUST_000163,746,16,2176.37,1,4,4,144,9,At Risk,India,Consulting,Professional,2021-09-27,2,Growth Potential
CUST_000164,25,39,9467.56,2,5,5,255,12,At Risk,Germany,Consulting,Professional,2021-09-27,1,VIP Elite
CUST_000165,24,36,1922.48,2,5,4,254,11,At Risk,UK,Consulting,Basic,2021-09-28,1,VIP Elite
CUST_000166,19,39,13095.66,3,5,5,355,13,Loyal Customers,UK,Consulting,Enterprise,2021-10-02,1,VIP Elite
CUST_000167,830,13,459.1,1,4,2,142,7,Lost,USA,Technology,Basic,2021-10-02,2,Growth Potential
CUST_000168,1007,7,348.0,1,3,2,132,6,Lost,USA,Consulting,Basic,2021-10-03,2,Growth Potential
CUST_000169,19,38,9595.72,3,5,5,355,13,Loyal Customers,Japan,Retail,Professional,2021-10-03,1,VIP Elite
CUST_000170,646,17,1247.72,1,4,3,143,8,At Risk,Germany,Media,Basic,2021-10-05,2,Growth Potential
CUST_000171,15,38,7725.2300000000005,4,5,5,455,14,Champions,Germany,Technology,Professional,2021-10-06,1,VIP Elite
CUST_000172,16,40,6453.72,4,5,5,455,14,Champions,USA,Energy,Professional,2021-10-07,1,VIP Elite
CUST_000173,13,36,7078.44,4,5,5,455,14,Champions,UK,Manufacturing,Professional,2021-10-10,1,VIP Elite
CUST_000174,9,40,2024.64,5,5,4,554,14,Champions,France,Media,Basic,2021-10-11,1,VIP Elite
CUST_000175,732,16,3823.8199999999997,1,4,4,144,9,At Risk,UK,Healthcare,Professional,2021-10-11,2,Growth Potential
CUST_000176,8,37,22537.86,5,5,5,555,15,Champions,Germany,Finance,Enterprise,2021-10-14,1,VIP Elite
CUST_000177,867,11,725.1899999999999,1,3,2,132,6,Lost,France,Real Estate,Basic,2021-10-23,2,Growth Potential
CUST_000178,657,18,4108.15,1,4,4,144,9,At Risk,USA,Education,Professional,2021-10-24,2,Growth Potential
CUST_000179,25,33,9120.41,2,5,5,255,12,At Risk,USA,Education,Professional,2021-10-24,1,VIP Elite
CUST_000180,925,9,2221.04,1,3,4,134,8,At Risk,India,Education,Professional,2021-10-25,2,Growth Potential
CUST_000181,954,8,2389.61,1,3,4,134,8,At Risk,UK,Education,Professional,2021-10-26,2,Growth Potential
CUST_000182,23,36,9336.06,3,5,5,355,13,Loyal Customers,Germany,Finance,Professional,2021-10-26,1,VIP Elite
CUST_000183,1013,6,419.2,1,2,2,122,5,Hibernating,India,Energy,Basic,2021-10-30,2,Growth Potential
CUST_000184,22,37,17588.98,3,5,5,355,13,Loyal Customers,India,Education,Enterprise,2021-10-31,1,VIP Elite
CUST_000185,15,33,1664.88,4,5,3,453,12,Potential Loyalists,USA,Healthcare,Basic,2021-11-03,1,VIP Elite
CUST_000186,14,36,1430.17,4,5,3,453,12,Potential Loyalists,USA,Retail,Basic,2021-11-04,1,VIP Elite
CUST_000187,14,38,6036.8,4,5,5,455,14,Champions,USA,Technology,Professional,2021-11-07,1,VIP Elite
CUST_000188,15,36,3266.12,4,5,4,454,13,Champions,USA,Media,Basic,2021-11-07,1,VIP Elite
CUST_000189,12,37,1747.6,4,5,3,453,12,Potential Loyalists,Japan,Media,Basic,2021-11-07,1,VIP Elite
CUST_000190,912,8,710.06,1,3,2,132,6,Lost,Australia,Finance,Basic,2021-11-08,2,Growth Potential
CUST_000191,11,38,9288.33,4,5,5,455,14,Champions,USA,Consulting,Professional,2021-11-10,1,VIP Elite
CUST_000192,8,37,31269.09,5,5,5,555,15,Champions,France,Retail,Enterprise,2021-11-10,1,VIP Elite
CUST_000193,8,37,37398.93,5,5,5,555,15,Champions,Canada,Real Estate,Enterprise,2021-11-11,1,VIP Elite
CUST_000194,8,36,2374.63,5,5,4,554,14,Champions,USA,Real Estate,Basic,2021-11-12,1,VIP Elite
CUST_000195,7,32,21095.41,5,5,5,555,15,Champions,Australia,Manufacturing,Enterprise,2021-11-13,1,VIP Elite
CUST_000196,815,12,3434.88,1,4,4,144,9,At Risk,Singapore,Healthcare,Professional,2021-11-14,2,Growth Potential
CUST_000197,29,33,20892.6,2,5,5,255,12,At Risk,UK,Energy,Enterprise,2021-11-20,1,VIP Elite
CUST_000198,32,38,54812.909999999996,1,5,5,155,11,At Risk,UK,Retail,Premium,2021-11-20,1,VIP Elite
CUST_000199,986,6,703.12,1,3,2,132,6,Lost,Japan,Education,Professional,2021-11-25,2,Growth Potential
CUST_000200,22,37,24651.91,3,5,5,355,13,Loyal Customers,Australia,Manufacturing,Enterprise,2021-11-27,1,VIP Elite
CUST_000201,21,34,16932.53,3,5,5,355,13,Loyal Customers,USA,Real Estate,Enterprise,2021-11-28,1,VIP Elite
CUST_000202,22,36,32777.68,3,5,5,355,13,Loyal Customers,Germany,Technology,Enterprise,2021-11-28,1,VIP Elite
CUST_000203,739,12,5048.9,1,4,5,145,10,At Risk,UK,Media,Enterprise,2021-11-29,2,Growth Potential
CUST_000204,19,36,2900.72,3,5,4,354,12,Loyal Customers,UK,Manufacturing,Basic,2021-11-30,1,VIP Elite
CUST_000205,17,38,2094.39,3,5,4,354,12,Loyal Customers,Brazil,Media,Basic,2021-12-02,1,VIP Elite
CUST_000206,16,38,42866.57,4,5,5,455,14,Champions,UK,Media,Premium,2021-12-02,1,VIP Elite
CUST_000207,17,37,5105.35,3,5,5,355,13,Loyal Customers,India,Energy,Professional,2021-12-05,1,VIP Elite
CUST_000208,17,37,5893.22,3,5,5,355,13,Loyal Customers,France,Energy,Professional,2021-12-05,1,VIP Elite
CUST_000209,11,38,2488.33,4,5,4,454,13,Champions,USA,Media,Basic,2021-12-08,1,VIP Elite
CUST_000210,10,38,19556.55,4,5,5,455,14,Champions,Canada,Energy,Enterprise,2021-12-11,1,VIP Elite
CUST_000211,727,12,9327.47,1,4,5,145,10,At Risk,Australia,Consulting,Enterprise,2021-12-11,2,Growth Potential
CUST_000212,9,36,4535.01,5,5,4,554,14,Champions,USA,Healthcare,Professional,2021-12-13,1,VIP Elite
CUST_000213,543,20,3510.02,1,4,4,144,9,At Risk,USA,Healthcare,Professional,2021-12-15,2,Growth Potential
CUST_000214,4,38,27185.82,5,5,5,555,15,Champions,UK,Education,Enterprise,2021-12-15,1,VIP Elite
CUST_000215,5,36,2974.9,5,5,4,554,14,Champions,UK,Education,Basic,2021-12-15,1,VIP Elite
CUST_000216,3,35,25375.59,5,5,5,555,15,Champions,USA,Retail,Enterprise,2021-12-16,1,VIP Elite
CUST_000217,3,38,2537.9700000000003,5,5,4,554,14,Champions,France,Media,Basic,2021-12-16,1,VIP Elite
CUST_000218,5,35,3857.39,5,5,4,554,14,Champions,USA,Technology,Professional,2021-12-17,1,VIP Elite
CUST_000219,30,36,31552.54,2,5,5,255,12,At Risk,USA,Education,Enterprise,2021-12-18,1,VIP Elite
CUST_000220,27,33,2061.0,2,5,4,254,11,At Risk,Canada,Energy,Basic,2021-12-21,1,VIP Elite
CUST_000221,25,33,91809.0,2,5,5,255,12,At Risk,USA,Consulting,Premium,2021-12-23,1,VIP Elite
CUST_000222,25,35,1818.52,2,5,3,253,10,At Risk,UK,Finance,Basic,2021-12-25,1,VIP Elite
CUST_000223,53,34,56228.04,1,5,5,155,11,At Risk,Australia,Consulting,Premium,2021-12-28,1,VIP Elite
CUST_000224,20,34,33624.21,3,5,5,355,13,Loyal Customers,Singapore,Media,Enterprise,2021-12-29,1,VIP Elite
CUST_000225,678,13,927.8,1,4,3,143,8,At Risk,UK,Manufacturing,Basic,2021-12-31,2,Growth Potential
CUST_000226,16,37,9764.3,4,5,5,455,14,Champions,Australia,Energy,Professional,2022-01-01,1,VIP Elite
CUST_000227,14,35,22636.03,4,5,5,455,14,Champions,UK,Energy,Enterprise,2022-01-03,1,VIP Elite
CUST_000228,17,30,4801.53,3,5,4,354,12,Loyal Customers,USA,Consulting,Professional,2022-01-03,1,VIP Elite
CUST_000229,14,37,6493.6,4,5,5,455,14,Champions,USA,Technology,Professional,2022-01-05,1,VIP Elite
CUST_000230,10,33,3184.0,4,5,4,454,13,Champions,USA,Healthcare,Basic,2022-01-07,1,VIP Elite
CUST_000231,9,34,5709.71,5,5,5,555,15,Champions,USA,Consulting,Professional,2022-01-08,1,VIP Elite
CUST_000232,429,22,4712.67,1,5,4,154,10,At Risk,Canada,Technology,Professional,2022-01-08,2,Growth Potential
