customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,rfm_segment,behavioral_segment,country,industry,subscription_type,revenue_formatted
CUST_000038,20,45,4987.13,3,5,5,355,13,Loyal Customers,VIP Elite,Canada,Media,Professional,"$4,987.13"
CUST_000039,15,43,2411.74,4,5,4,454,13,Champions,VIP Elite,Australia,Energy,Basic,"$2,411.74"
CUST_000040,16,43,4284.1,4,5,4,454,13,Champions,VIP Elite,UK,Media,Basic,"$4,284.10"
CUST_000041,47,41,6122.62,1,5,5,155,11,At Risk,VIP Elite,Japan,Education,Professional,"$6,122.62"
CUST_000042,1305,4,368.34,1,2,2,122,5,Hibernating,Growth Potential,UK,Education,Basic,$368.34
CUST_000043,15,40,3414.23,4,5,4,454,13,Champions,VIP Elite,UK,Education,Basic,"$3,414.23"
CUST_000044,12,47,5221.13,4,5,5,455,14,Champions,VIP Elite,Canada,Finance,Professional,"$5,221.13"
CUST_000045,15,42,10305.7,4,5,5,455,14,Champions,VIP Elite,Brazil,Real Estate,Professional,"$10,305.70"
CUST_000046,11,45,11337.38,4,5,5,455,14,Champions,VIP Elite,USA,Finance,Professional,"$11,337.38"
CUST_000047,666,25,4958.89,1,5,5,155,11,At Risk,Growth Potential,Australia,Real Estate,Professional,"$4,958.89"
CUST_000048,993,13,3704.6,1,4,4,144,9,At Risk,Growth Potential,Australia,Technology,Professional,"$3,704.60"
CUST_000049,810,19,2923.53,1,4,4,144,9,At Risk,Growth Potential,Germany,Technology,Professional,"$2,923.53"
CUST_000050,25,42,2849.13,2,5,4,254,11,At Risk,VIP Elite,USA,Finance,Basic,"$2,849.13"
CUST_000051,56,43,8790.31,1,5,5,155,11,At Risk,VIP Elite,USA,Consulting,Professional,"$8,790.31"
CUST_000052,1194,5,1241.77,1,2,3,123,6,Hibernating,Growth Potential,UK,Healthcare,Professional,"$1,241.77"
CUST_000053,22,37,1918.41,3,5,4,354,12,Loyal Customers,VIP Elite,Brazil,Retail,Basic,"$1,918.41"
CUST_000054,25,43,20978.07,2,5,5,255,12,At Risk,VIP Elite,UK,Technology,Enterprise,"$20,978.07"
CUST_000055,22,45,2814.94,3,5,4,354,12,Loyal Customers,VIP Elite,USA,Consulting,Basic,"$2,814.94"
CUST_000056,23,41,3666.43,3,5,4,354,12,Loyal Customers,VIP Elite,USA,Healthcare,Basic,"$3,666.43"
CUST_000057,1043,11,7885.21,1,3,5,135,9,At Risk,Growth Potential,Brazil,Real Estate,Enterprise,"$7,885.21"
CUST_000058,1159,6,4353.79,1,2,4,124,7,Hibernating,Growth Potential,France,Technology,Enterprise,"$4,353.79"
CUST_000059,19,39,1812.57,3,5,3,353,11,Promising,VIP Elite,Australia,Consulting,Basic,"$1,812.57"
CUST_000060,11,42,6752.14,4,5,5,455,14,Champions,VIP Elite,Brazil,Finance,Professional,"$6,752.14"
CUST_000061,993,11,8054.66,1,3,5,135,9,At Risk,Growth Potential,Australia,Technology,Enterprise,"$8,054.66"
CUST_000062,6,44,3039.27,5,5,4,554,14,Champions,VIP Elite,UK,Retail,Basic,"$3,039.27"
CUST_000063,2,40,9397.02,5,5,5,555,15,Champions,VIP Elite,USA,Finance,Professional,"$9,397.02"
CUST_000064,1291,3,1943.92,1,2,4,124,7,Hibernating,Growth Potential,Australia,Healthcare,Enterprise,"$1,943.92"
CUST_000065,33,43,4913.6,1,5,5,155,11,At Risk,VIP Elite,USA,Education,Professional,"$4,913.60"
CUST_000066,991,13,866.44,1,4,2,142,7,Lost,Growth Potential,UK,Energy,Basic,$866.44
CUST_000067,27,42,2853.46,2,5,4,254,11,At Risk,VIP Elite,USA,Energy,Basic,"$2,853.46"
CUST_000068,27,41,3721.71,2,5,4,254,11,At Risk,VIP Elite,India,Media,Basic,"$3,721.71"
CUST_000069,19,43,9780.19,3,5,5,355,13,Loyal Customers,VIP Elite,Germany,Technology,Professional,"$9,780.19"
CUST_000070,1189,6,8771.17,1,2,5,125,8,Hibernating,Growth Potential,UK,Education,Premium,"$8,771.17"
CUST_000071,18,44,2445.94,3,5,4,354,12,Loyal Customers,VIP Elite,India,Technology,Basic,"$2,445.94"
CUST_000072,18,42,2268.4,3,5,4,354,12,Loyal Customers,VIP Elite,Germany,Healthcare,Basic,"$2,268.40"
CUST_000073,18,42,3525.35,3,5,4,354,12,Loyal Customers,VIP Elite,USA,Healthcare,Basic,"$3,525.35"
CUST_000074,18,44,5513.54,3,5,5,355,13,Loyal Customers,VIP Elite,France,Education,Professional,"$5,513.54"
CUST_000075,1215,5,325.48,1,2,1,121,4,Hibernating,Growth Potential,USA,Education,Basic,$325.48
CUST_000076,11,41,3551.9900000000002,4,5,4,454,13,Champions,VIP Elite,Brazil,Finance,Basic,"$3,551.99"
CUST_000077,1030,9,2648.34,1,3,4,134,8,At Risk,Growth Potential,USA,Real Estate,Professional,"$2,648.34"
CUST_000078,6,44,3295.58,5,5,4,554,14,Champions,VIP Elite,Singapore,Real Estate,Basic,"$3,295.58"
CUST_000079,786,18,6151.39,1,4,5,145,10,At Risk,Growth Potential,Canada,Finance,Enterprise,"$6,151.39"
CUST_000080,1265,2,204.94,1,1,1,111,3,Hibernating,Growth Potential,USA,Real Estate,Professional,$204.94
CUST_000081,2,43,4824.33,5,5,5,555,15,Champions,VIP Elite,UK,Retail,Professional,"$4,824.33"
CUST_000082,31,41,11383.16,2,5,5,255,12,At Risk,VIP Elite,France,Retail,Professional,"$11,383.16"
CUST_000083,26,41,39375.29,2,5,5,255,12,At Risk,VIP Elite,USA,Education,Enterprise,"$39,375.29"
CUST_000084,26,42,2385.94,2,5,4,254,11,At Risk,VIP Elite,UK,Energy,Basic,"$2,385.94"
CUST_000085,25,42,8316.55,2,5,5,255,12,At Risk,VIP Elite,USA,Energy,Professional,"$8,316.55"
CUST_000086,51,41,3412.86,1,5,4,154,10,At Risk,VIP Elite,Canada,Technology,Basic,"$3,412.86"
CUST_000087,21,40,1985.55,3,5,4,354,12,Loyal Customers,VIP Elite,Germany,Retail,Basic,"$1,985.55"
CUST_000088,19,37,3395.2,3,5,4,354,12,Loyal Customers,VIP Elite,France,Technology,Basic,"$3,395.20"
CUST_000089,50,40,1983.95,1,5,4,154,10,At Risk,VIP Elite,Canada,Education,Basic,"$1,983.95"
CUST_000090,707,20,1181.41,1,4,3,143,8,At Risk,Growth Potential,India,Education,Basic,"$1,181.41"
CUST_000091,18,41,3393.85,3,5,4,354,12,Loyal Customers,VIP Elite,UK,Media,Basic,"$3,393.85"
CUST_000092,16,42,22520.71,4,5,5,455,14,Champions,VIP Elite,Brazil,Media,Enterprise,"$22,520.71"
CUST_000093,1214,3,573.79,1,2,2,122,5,Hibernating,Growth Potential,USA,Finance,Professional,$573.79
CUST_000094,764,19,3285.37,1,4,4,144,9,At Risk,Growth Potential,Australia,Real Estate,Professional,"$3,285.37"
CUST_000095,13,40,1930.82,4,5,4,454,13,Champions,VIP Elite,Germany,Energy,Basic,"$1,930.82"
CUST_000096,11,44,35865.29,4,5,5,455,14,Champions,VIP Elite,USA,Healthcare,Enterprise,"$35,865.29"
CUST_000097,11,44,8153.53,4,5,5,455,14,Champions,VIP Elite,Brazil,Healthcare,Professional,"$8,153.53"
CUST_000098,11,39,2642.25,4,5,4,454,13,Champions,VIP Elite,UK,Finance,Basic,"$2,642.25"
CUST_000099,4,43,15913.63,5,5,5,555,15,Champions,VIP Elite,Canada,Education,Enterprise,"$15,913.63"
CUST_000100,29,40,30884.67,2,5,5,255,12,At Risk,VIP Elite,Brazil,Education,Enterprise,"$30,884.67"
CUST_000101,29,40,2445.48,2,5,4,254,11,At Risk,VIP Elite,France,Manufacturing,Basic,"$2,445.48"
CUST_000102,29,41,17000.95,2,5,5,255,12,At Risk,VIP Elite,USA,Media,Enterprise,"$17,000.95"
CUST_000103,27,41,2239.99,2,5,4,254,11,At Risk,VIP Elite,France,Real Estate,Basic,"$2,239.99"
CUST_000104,23,43,10585.04,3,5,5,355,13,Loyal Customers,VIP Elite,USA,Technology,Professional,"$10,585.04"
CUST_000105,19,41,2969.45,3,5,4,354,12,Loyal Customers,VIP Elite,USA,Education,Basic,"$2,969.45"
CUST_000106,17,43,6712.9,3,5,5,355,13,Loyal Customers,VIP Elite,Germany,Media,Professional,"$6,712.90"
CUST_000107,15,42,1438.75,4,5,3,453,12,Potential Loyalists,VIP Elite,France,Technology,Basic,"$1,438.75"
CUST_000108,14,39,2220.03,4,5,4,454,13,Champions,VIP Elite,Canada,Media,Basic,"$2,220.03"
CUST_000109,11,42,12316.0,4,5,5,455,14,Champions,VIP Elite,UK,Finance,Professional,"$12,316.00"
CUST_000110,971,11,9850.1,1,3,5,135,9,At Risk,Growth Potential,France,Finance,Enterprise,"$9,850.10"
CUST_000111,9,41,4484.31,5,5,4,554,14,Champions,VIP Elite,France,Real Estate,Professional,"$4,484.31"
CUST_000112,9,37,1696.54,5,5,3,553,13,Potential Loyalists,VIP Elite,USA,Healthcare,Basic,"$1,696.54"
CUST_000113,8,41,2227.36,5,5,4,554,14,Champions,VIP Elite,USA,Education,Basic,"$2,227.36"
CUST_000114,9,41,1276.36,5,5,3,553,13,Potential Loyalists,VIP Elite,Singapore,Consulting,Basic,"$1,276.36"
CUST_000115,8,38,8936.14,5,5,5,555,15,Champions,VIP Elite,Brazil,Finance,Professional,"$8,936.14"
CUST_000116,848,12,2047.19,1,4,4,144,9,At Risk,Growth Potential,Australia,Education,Professional,"$2,047.19"
CUST_000117,6,39,8528.28,5,5,5,555,15,Champions,VIP Elite,France,Healthcare,Professional,"$8,528.28"
CUST_000118,8,38,6733.55,5,5,5,555,15,Champions,VIP Elite,USA,Energy,Professional,"$6,733.55"
CUST_000119,3,43,3261.95,5,5,4,554,14,Champions,VIP Elite,USA,Education,Basic,"$3,261.95"
CUST_000120,32,40,3871.41,1,5,4,154,10,At Risk,VIP Elite,France,Retail,Basic,"$3,871.41"
CUST_000121,29,40,98955.52,2,5,5,255,12,At Risk,VIP Elite,India,Technology,Premium,"$98,955.52"
CUST_000122,27,40,2602.52,2,5,4,254,11,At Risk,VIP Elite,Brazil,Real Estate,Basic,"$2,602.52"
CUST_000123,28,40,15760.32,2,5,5,255,12,At Risk,VIP Elite,USA,Energy,Enterprise,"$15,760.32"
CUST_000124,21,39,96242.34,3,5,5,355,13,Loyal Customers,VIP Elite,UK,Manufacturing,Premium,"$96,242.34"
CUST_000125,983,10,9975.52,1,3,5,135,9,At Risk,Growth Potential,India,Retail,Enterprise,"$9,975.52"
CUST_000126,49,38,2963.68,1,5,4,154,10,At Risk,VIP Elite,USA,Manufacturing,Basic,"$2,963.68"
CUST_000127,17,40,1765.6299999999999,3,5,3,353,11,Promising,VIP Elite,Japan,Real Estate,Basic,"$1,765.63"
CUST_000128,980,9,2390.58,1,3,4,134,8,At Risk,Growth Potential,USA,Finance,Professional,"$2,390.58"
CUST_000129,43,40,5422.94,1,5,5,155,11,At Risk,VIP Elite,India,Real Estate,Professional,"$5,422.94"
CUST_000130,613,22,2170.02,1,5,4,154,10,At Risk,Growth Potential,France,Real Estate,Basic,"$2,170.02"
CUST_000131,12,40,94623.95,4,5,5,455,14,Champions,VIP Elite,France,Education,Premium,"$94,623.95"
CUST_000132,1028,7,1505.85,1,3,3,133,7,At Risk,Growth Potential,USA,Healthcare,Professional,"$1,505.85"
CUST_000133,902,11,3038.67,1,3,4,134,8,At Risk,Growth Potential,Japan,Manufacturing,Professional,"$3,038.67"
CUST_000134,5,41,10017.17,5,5,5,555,15,Champions,VIP Elite,Canada,Finance,Professional,"$10,017.17"
CUST_000135,58,36,3098.63,1,5,4,154,10,At Risk,VIP Elite,UK,Finance,Basic,"$3,098.63"
CUST_000136,28,41,19228.47,2,5,5,255,12,At Risk,VIP Elite,Australia,Energy,Enterprise,"$19,228.47"
CUST_000137,28,39,34579.74,2,5,5,255,12,At Risk,VIP Elite,Japan,Retail,Enterprise,"$34,579.74"
CUST_000138,30,39,10214.02,2,5,5,255,12,At Risk,VIP Elite,Germany,Retail,Professional,"$10,214.02"
CUST_000139,26,39,6736.33,2,5,5,255,12,At Risk,VIP Elite,Australia,Technology,Professional,"$6,736.33"
CUST_000140,24,38,21339.6,2,5,5,255,12,At Risk,VIP Elite,Canada,Consulting,Enterprise,"$21,339.60"
CUST_000141,21,38,1480.99,3,5,3,353,11,Promising,VIP Elite,Brazil,Energy,Basic,"$1,480.99"
CUST_000142,23,40,1377.29,3,5,3,353,11,Promising,VIP Elite,UK,Healthcare,Basic,"$1,377.29"
CUST_000143,22,35,3547.16,3,5,4,354,12,Loyal Customers,VIP Elite,France,Media,Basic,"$3,547.16"
CUST_000144,18,39,8210.5,3,5,5,355,13,Loyal Customers,VIP Elite,Germany,Real Estate,Professional,"$8,210.50"
CUST_000145,18,36,9723.77,3,5,5,355,13,Loyal Customers,VIP Elite,USA,Media,Professional,"$9,723.77"
CUST_000146,15,40,1542.81,4,5,3,453,12,Potential Loyalists,VIP Elite,USA,Healthcare,Basic,"$1,542.81"
CUST_000147,11,36,2668.55,4,5,4,454,13,Champions,VIP Elite,Japan,Education,Basic,"$2,668.55"
CUST_000148,42,38,7475.4,1,5,5,155,11,At Risk,VIP Elite,USA,Real Estate,Professional,"$7,475.40"
CUST_000149,969,8,420.88,1,3,2,132,6,Lost,Growth Potential,Australia,Energy,Basic,$420.88
CUST_000150,667,19,1407.0,1,4,3,143,8,At Risk,Growth Potential,France,Energy,Basic,"$1,407.00"
CUST_000151,936,9,2288.81,1,3,4,134,8,At Risk,Growth Potential,USA,Finance,Professional,"$2,288.81"
CUST_000152,4,39,7382.79,5,5,5,555,15,Champions,VIP Elite,Germany,Finance,Professional,"$7,382.79"
CUST_000153,516,22,59247.659999999996,1,5,5,155,11,At Risk,VIP Elite,Canada,Technology,Premium,"$59,247.66"
CUST_000154,3,37,1498.41,5,5,3,553,13,Potential Loyalists,VIP Elite,Germany,Energy,Basic,"$1,498.41"
CUST_000155,63,37,1516.04,1,5,3,153,9,At Risk,VIP Elite,Australia,Finance,Basic,"$1,516.04"
CUST_000156,31,38,2058.71,2,5,4,254,11,At Risk,VIP Elite,UK,Retail,Basic,"$2,058.71"
CUST_000157,899,9,25873.57,1,3,5,135,9,At Risk,Growth Potential,USA,Energy,Premium,"$25,873.57"
CUST_000158,1140,3,470.55,1,2,2,122,5,Hibernating,Growth Potential,Japan,Healthcare,Professional,$470.55
CUST_000159,28,38,1848.74,2,5,3,253,10,At Risk,VIP Elite,UK,Energy,Basic,"$1,848.74"
CUST_000160,25,36,2635.42,2,5,4,254,11,At Risk,VIP Elite,USA,Manufacturing,Basic,"$2,635.42"
CUST_000161,1104,4,860.79,1,2,2,122,5,Hibernating,Growth Potential,Germany,Healthcare,Professional,$860.79
CUST_000162,26,39,2814.68,2,5,4,254,11,At Risk,VIP Elite,France,Finance,Basic,"$2,814.68"
CUST_000163,746,16,2176.37,1,4,4,144,9,At Risk,Growth Potential,India,Consulting,Professional,"$2,176.37"
CUST_000164,25,39,9467.56,2,5,5,255,12,At Risk,VIP Elite,Germany,Consulting,Professional,"$9,467.56"
CUST_000165,24,36,1922.48,2,5,4,254,11,At Risk,VIP Elite,UK,Consulting,Basic,"$1,922.48"
CUST_000166,19,39,13095.66,3,5,5,355,13,Loyal Customers,VIP Elite,UK,Consulting,Enterprise,"$13,095.66"
CUST_000167,830,13,459.1,1,4,2,142,7,Lost,Growth Potential,USA,Technology,Basic,$459.10
CUST_000168,1007,7,348.0,1,3,2,132,6,Lost,Growth Potential,USA,Consulting,Basic,$348.00
CUST_000169,19,38,9595.72,3,5,5,355,13,Loyal Customers,VIP Elite,Japan,Retail,Professional,"$9,595.72"
CUST_000170,646,17,1247.72,1,4,3,143,8,At Risk,Growth Potential,Germany,Media,Basic,"$1,247.72"
CUST_000171,15,38,7725.2300000000005,4,5,5,455,14,Champions,VIP Elite,Germany,Technology,Professional,"$7,725.23"
CUST_000172,16,40,6453.72,4,5,5,455,14,Champions,VIP Elite,USA,Energy,Professional,"$6,453.72"
CUST_000173,13,36,7078.44,4,5,5,455,14,Champions,VIP Elite,UK,Manufacturing,Professional,"$7,078.44"
CUST_000174,9,40,2024.64,5,5,4,554,14,Champions,VIP Elite,France,Media,Basic,"$2,024.64"
CUST_000175,732,16,3823.8199999999997,1,4,4,144,9,At Risk,Growth Potential,UK,Healthcare,Professional,"$3,823.82"
CUST_000176,8,37,22537.86,5,5,5,555,15,Champions,VIP Elite,Germany,Finance,Enterprise,"$22,537.86"
CUST_000177,867,11,725.1899999999999,1,3,2,132,6,Lost,Growth Potential,France,Real Estate,Basic,$725.19
CUST_000178,657,18,4108.15,1,4,4,144,9,At Risk,Growth Potential,USA,Education,Professional,"$4,108.15"
CUST_000179,25,33,9120.41,2,5,5,255,12,At Risk,VIP Elite,USA,Education,Professional,"$9,120.41"
CUST_000180,925,9,2221.04,1,3,4,134,8,At Risk,Growth Potential,India,Education,Professional,"$2,221.04"
CUST_000181,954,8,2389.61,1,3,4,134,8,At Risk,Growth Potential,UK,Education,Professional,"$2,389.61"
CUST_000182,23,36,9336.06,3,5,5,355,13,Loyal Customers,VIP Elite,Germany,Finance,Professional,"$9,336.06"
CUST_000183,1013,6,419.2,1,2,2,122,5,Hibernating,Growth Potential,India,Energy,Basic,$419.20
CUST_000184,22,37,17588.98,3,5,5,355,13,Loyal Customers,VIP Elite,India,Education,Enterprise,"$17,588.98"
CUST_000185,15,33,1664.88,4,5,3,453,12,Potential Loyalists,VIP Elite,USA,Healthcare,Basic,"$1,664.88"
CUST_000186,14,36,1430.17,4,5,3,453,12,Potential Loyalists,VIP Elite,USA,Retail,Basic,"$1,430.17"
CUST_000187,14,38,6036.8,4,5,5,455,14,Champions,VIP Elite,USA,Technology,Professional,"$6,036.80"
CUST_000188,15,36,3266.12,4,5,4,454,13,Champions,VIP Elite,USA,Media,Basic,"$3,266.12"
CUST_000189,12,37,1747.6,4,5,3,453,12,Potential Loyalists,VIP Elite,Japan,Media,Basic,"$1,747.60"
CUST_000190,912,8,710.06,1,3,2,132,6,Lost,Growth Potential,Australia,Finance,Basic,$710.06
CUST_000191,11,38,9288.33,4,5,5,455,14,Champions,VIP Elite,USA,Consulting,Professional,"$9,288.33"
CUST_000192,8,37,31269.09,5,5,5,555,15,Champions,VIP Elite,France,Retail,Enterprise,"$31,269.09"
CUST_000193,8,37,37398.93,5,5,5,555,15,Champions,VIP Elite,Canada,Real Estate,Enterprise,"$37,398.93"
CUST_000194,8,36,2374.63,5,5,4,554,14,Champions,VIP Elite,USA,Real Estate,Basic,"$2,374.63"
CUST_000195,7,32,21095.41,5,5,5,555,15,Champions,VIP Elite,Australia,Manufacturing,Enterprise,"$21,095.41"
CUST_000196,815,12,3434.88,1,4,4,144,9,At Risk,Growth Potential,Singapore,Healthcare,Professional,"$3,434.88"
CUST_000197,29,33,20892.6,2,5,5,255,12,At Risk,VIP Elite,UK,Energy,Enterprise,"$20,892.60"
CUST_000198,32,38,54812.909999999996,1,5,5,155,11,At Risk,VIP Elite,UK,Retail,Premium,"$54,812.91"
CUST_000199,986,6,703.12,1,3,2,132,6,Lost,Growth Potential,Japan,Education,Professional,$703.12
CUST_000200,22,37,24651.91,3,5,5,355,13,Loyal Customers,VIP Elite,Australia,Manufacturing,Enterprise,"$24,651.91"
CUST_000201,21,34,16932.53,3,5,5,355,13,Loyal Customers,VIP Elite,USA,Real Estate,Enterprise,"$16,932.53"
CUST_000202,22,36,32777.68,3,5,5,355,13,Loyal Customers,VIP Elite,Germany,Technology,Enterprise,"$32,777.68"
CUST_000203,739,12,5048.9,1,4,5,145,10,At Risk,Growth Potential,UK,Media,Enterprise,"$5,048.90"
CUST_000204,19,36,2900.72,3,5,4,354,12,Loyal Customers,VIP Elite,UK,Manufacturing,Basic,"$2,900.72"
CUST_000205,17,38,2094.39,3,5,4,354,12,Loyal Customers,VIP Elite,Brazil,Media,Basic,"$2,094.39"
CUST_000206,16,38,42866.57,4,5,5,455,14,Champions,VIP Elite,UK,Media,Premium,"$42,866.57"
CUST_000207,17,37,5105.35,3,5,5,355,13,Loyal Customers,VIP Elite,India,Energy,Professional,"$5,105.35"
CUST_000208,17,37,5893.22,3,5,5,355,13,Loyal Customers,VIP Elite,France,Energy,Professional,"$5,893.22"
CUST_000209,11,38,2488.33,4,5,4,454,13,Champions,VIP Elite,USA,Media,Basic,"$2,488.33"
CUST_000210,10,38,19556.55,4,5,5,455,14,Champions,VIP Elite,Canada,Energy,Enterprise,"$19,556.55"
CUST_000211,727,12,9327.47,1,4,5,145,10,At Risk,Growth Potential,Australia,Consulting,Enterprise,"$9,327.47"
CUST_000212,9,36,4535.01,5,5,4,554,14,Champions,VIP Elite,USA,Healthcare,Professional,"$4,535.01"
CUST_000213,543,20,3510.02,1,4,4,144,9,At Risk,Growth Potential,USA,Healthcare,Professional,"$3,510.02"
CUST_000214,4,38,27185.82,5,5,5,555,15,Champions,VIP Elite,UK,Education,Enterprise,"$27,185.82"
CUST_000215,5,36,2974.9,5,5,4,554,14,Champions,VIP Elite,UK,Education,Basic,"$2,974.90"
CUST_000216,3,35,25375.59,5,5,5,555,15,Champions,VIP Elite,USA,Retail,Enterprise,"$25,375.59"
CUST_000217,3,38,2537.9700000000003,5,5,4,554,14,Champions,VIP Elite,France,Media,Basic,"$2,537.97"
CUST_000218,5,35,3857.39,5,5,4,554,14,Champions,VIP Elite,USA,Technology,Professional,"$3,857.39"
CUST_000219,30,36,31552.54,2,5,5,255,12,At Risk,VIP Elite,USA,Education,Enterprise,"$31,552.54"
CUST_000220,27,33,2061.0,2,5,4,254,11,At Risk,VIP Elite,Canada,Energy,Basic,"$2,061.00"
CUST_000221,25,33,91809.0,2,5,5,255,12,At Risk,VIP Elite,USA,Consulting,Premium,"$91,809.00"
CUST_000222,25,35,1818.52,2,5,3,253,10,At Risk,VIP Elite,UK,Finance,Basic,"$1,818.52"
CUST_000223,53,34,56228.04,1,5,5,155,11,At Risk,VIP Elite,Australia,Consulting,Premium,"$56,228.04"
CUST_000224,20,34,33624.21,3,5,5,355,13,Loyal Customers,VIP Elite,Singapore,Media,Enterprise,"$33,624.21"
CUST_000225,678,13,927.8,1,4,3,143,8,At Risk,Growth Potential,UK,Manufacturing,Basic,$927.80
CUST_000226,16,37,9764.3,4,5,5,455,14,Champions,VIP Elite,Australia,Energy,Professional,"$9,764.30"
CUST_000227,14,35,22636.03,4,5,5,455,14,Champions,VIP Elite,UK,Energy,Enterprise,"$22,636.03"
CUST_000228,17,30,4801.53,3,5,4,354,12,Loyal Customers,VIP Elite,USA,Consulting,Professional,"$4,801.53"
CUST_000229,14,37,6493.6,4,5,5,455,14,Champions,VIP Elite,USA,Technology,Professional,"$6,493.60"
CUST_000230,10,33,3184.0,4,5,4,454,13,Champions,VIP Elite,USA,Healthcare,Basic,"$3,184.00"
CUST_000231,9,34,5709.71,5,5,5,555,15,Champions,VIP Elite,USA,Consulting,Professional,"$5,709.71"
CUST_000232,429,22,4712.67,1,5,4,154,10,At Risk,Growth Potential,Canada,Technology,Professional,"$4,712.67"
CUST_000233,9,34,3289.02,5,5,4,554,14,Champions,VIP Elite,India,Manufacturing,Basic,"$3,289.02"
