customer_id,retention_action,urgency,recommended_discount,specific_action
CUST_000115,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000116,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000117,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000118,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000119,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000120,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000121,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program
CUST_000122,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000123,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000124,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program
CUST_000125,Immediate Retention Call,Critical,22,Re-engagement campaign - 982 days inactive
CUST_000126,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000127,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000128,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000129,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000130,Immediate Retention Call,Critical,21,Re-engagement campaign - 612 days inactive
CUST_000131,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program
CUST_000132,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000133,Immediate Retention Call,Critical,21,Re-engagement campaign - 901 days inactive
CUST_000134,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000135,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000136,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000137,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000138,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000139,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000140,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000141,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000142,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000143,Loyalty Rewards Program,Normal,6,Address payment issues - offer alternative payment methods
CUST_000144,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000145,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000146,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000147,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000148,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000149,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000150,Immediate Retention Call,Critical,21,Re-engagement campaign - 666 days inactive
CUST_000151,Immediate Retention Call,Critical,21,Re-engagement campaign - 935 days inactive
CUST_000152,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000153,Immediate Retention Call,Critical,24,Re-engagement campaign - 515 days inactive
CUST_000154,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000155,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000156,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000157,Immediate Retention Call,Critical,22,Address payment issues - offer alternative payment methods
CUST_000158,Immediate Retention Call,Critical,21,Re-engagement campaign - 1139 days inactive
CUST_000159,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000160,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000161,Immediate Retention Call,Critical,21,Re-engagement campaign - 1103 days inactive
CUST_000162,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000163,Immediate Retention Call,Critical,21,Re-engagement campaign - 745 days inactive
CUST_000164,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000165,Loyalty Rewards Program,Normal,6,Enroll in basic rewards program
CUST_000166,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000167,Immediate Retention Call,Critical,21,Re-engagement campaign - 829 days inactive
CUST_000168,Immediate Retention Call,Critical,21,Re-engagement campaign - 1006 days inactive
CUST_000169,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000170,Immediate Retention Call,Critical,21,Re-engagement campaign - 645 days inactive
CUST_000171,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000172,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000173,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000174,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000175,Immediate Retention Call,Critical,21,Re-engagement campaign - 731 days inactive
CUST_000176,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000177,Immediate Retention Call,Critical,21,Re-engagement campaign - 866 days inactive
CUST_000178,Immediate Retention Call,Critical,21,Re-engagement campaign - 656 days inactive
CUST_000179,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000180,Immediate Retention Call,Critical,21,Re-engagement campaign - 924 days inactive
CUST_000181,Immediate Retention Call,Critical,21,Re-engagement campaign - 953 days inactive
CUST_000182,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000183,Immediate Retention Call,Critical,21,Re-engagement campaign - 1012 days inactive
CUST_000184,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000185,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000186,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000187,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000188,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000189,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000190,Immediate Retention Call,Critical,21,Re-engagement campaign - 879 days inactive
CUST_000191,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000192,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000193,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000194,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000195,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000196,Immediate Retention Call,Critical,21,Re-engagement campaign - 814 days inactive
CUST_000197,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000198,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000199,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000200,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000201,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000202,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000203,Immediate Retention Call,Critical,21,Re-engagement campaign - 710 days inactive
CUST_000204,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000205,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000206,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000207,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000208,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000209,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000210,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000211,Immediate Retention Call,Critical,22,Re-engagement campaign - 726 days inactive
CUST_000212,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000213,Immediate Retention Call,Critical,21,Re-engagement campaign - 542 days inactive
CUST_000214,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000215,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000216,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000217,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000218,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000219,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000220,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000221,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program
CUST_000222,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000223,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000224,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000225,Immediate Retention Call,Critical,21,Re-engagement campaign - 677 days inactive
CUST_000226,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000227,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000228,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000229,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000230,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000231,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000232,Immediate Retention Call,Critical,21,Re-engagement campaign - 428 days inactive
CUST_000233,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000234,Immediate Retention Call,Critical,21,Re-engagement campaign - 905 days inactive
CUST_000235,Loyalty Rewards Program,Normal,7,Address payment issues - offer alternative payment methods
CUST_000236,Immediate Retention Call,Critical,23,Re-engagement campaign - 453 days inactive
CUST_000237,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000238,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000239,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000240,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000241,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000242,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000243,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000244,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000245,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000246,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000247,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000248,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000249,Immediate Retention Call,Critical,21,Re-engagement campaign - 380 days inactive
CUST_000250,Immediate Retention Call,Critical,22,Address payment issues - offer alternative payment methods
CUST_000251,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000252,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000253,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000254,Immediate Retention Call,Critical,21,Re-engagement campaign - 667 days inactive
CUST_000255,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000256,Immediate Retention Call,Critical,21,Re-engagement campaign - 364 days inactive
CUST_000257,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000258,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000259,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000260,Immediate Retention Call,Critical,21,Re-engagement campaign - 987 days inactive
CUST_000261,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000262,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000263,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000264,Immediate Retention Call,Critical,21,Re-engagement campaign - 770 days inactive
CUST_000265,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000266,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000267,Immediate Retention Call,Critical,21,Re-engagement campaign - 647 days inactive
CUST_000268,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000269,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000270,Immediate Retention Call,Critical,21,Re-engagement campaign - 430 days inactive
CUST_000271,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000272,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000273,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000274,Immediate Retention Call,Critical,21,Re-engagement campaign - 852 days inactive
CUST_000275,Immediate Retention Call,Critical,21,Re-engagement campaign - 672 days inactive
CUST_000276,Immediate Retention Call,Critical,21,Re-engagement campaign - 760 days inactive
CUST_000277,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000278,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000279,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000280,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000281,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000282,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000283,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000284,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000285,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000286,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000287,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000288,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000289,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000290,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000291,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program
CUST_000292,Immediate Retention Call,Critical,21,Re-engagement campaign - 773 days inactive
CUST_000293,Immediate Retention Call,Critical,21,Re-engagement campaign - 652 days inactive
CUST_000294,Immediate Retention Call,Critical,21,Re-engagement campaign - 381 days inactive
CUST_000295,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000296,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000297,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000298,Loyalty Rewards Program,Normal,6,Enroll in loyalty points program
CUST_000299,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000300,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000301,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000302,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000303,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000304,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000305,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000306,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000307,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000308,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000309,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000310,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000311,Immediate Retention Call,Critical,21,Re-engagement campaign - 839 days inactive
CUST_000312,Immediate Retention Call,Critical,21,Re-engagement campaign - 447 days inactive
CUST_000313,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000314,Loyalty Rewards Program,Normal,5,Address payment issues - offer alternative payment methods
CUST_000315,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000316,Immediate Retention Call,Critical,21,Re-engagement campaign - 745 days inactive
CUST_000317,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000318,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000319,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000320,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000321,Immediate Retention Call,Critical,21,Re-engagement campaign - 286 days inactive
CUST_000322,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000323,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000324,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000325,Immediate Retention Call,Critical,21,Re-engagement campaign - 307 days inactive
CUST_000326,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000327,Immediate Retention Call,Critical,21,Re-engagement campaign - 542 days inactive
CUST_000328,Immediate Retention Call,Critical,21,Re-engagement campaign - 601 days inactive
CUST_000329,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000330,Immediate Retention Call,Critical,21,Re-engagement campaign - 361 days inactive
CUST_000331,Loyalty Rewards Program,Normal,7,Enroll in VIP loyalty rewards program
CUST_000332,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000333,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000334,Immediate Retention Call,Critical,21,Re-engagement campaign - 296 days inactive
CUST_000335,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000336,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000337,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000338,Immediate Retention Call,Critical,23,Re-engagement campaign - 384 days inactive
CUST_000339,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000340,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000341,Immediate Retention Call,Critical,21,Re-engagement campaign - 801 days inactive
CUST_000342,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000343,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000344,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000345,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000346,Immediate Retention Call,Critical,21,Re-engagement campaign - 764 days inactive
CUST_000347,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000348,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000349,Immediate Retention Call,Critical,21,Re-engagement campaign - 281 days inactive
CUST_000350,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000351,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000352,Loyalty Rewards Program,Normal,5,Enroll in basic rewards program
CUST_000353,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
CUST_000354,Loyalty Rewards Program,Normal,6,Enroll in enterprise loyalty program
CUST_000355,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000356,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000357,Loyalty Rewards Program,Normal,5,Enroll in loyalty points program
CUST_000358,Immediate Retention Call,Critical,21,Address payment issues - offer alternative payment methods
CUST_000359,Loyalty Rewards Program,Normal,6,Enroll in VIP loyalty rewards program
